Brand,Model Name,Model Image,Technology,2G bands,3G bands,4G bands,Speed,Announced,Status,Dimensions,Weight,SIM,Type,Size,Resolution,OS,Card slot,Internal,Single,Video,Single_1,Video_1,Loudspeaker,3.5mm jack,,WLAN,Bluetooth,GPS,Radio,USB,Sensors,_1,Colors,Protection,Chipset,CPU,GPU,Dual,Features,Features_1,NFC,Models,_1_1,Price,Infrared port,Charging,Stand-by,Talk time,GPRS,EDGE,Build,Music play,Phonebook,Call records,Messaging,Games,Java,SAR EU,Display,Camera,Loudspeaker_1,Audio quality,Battery life,SAR,Keyboard,Browser,Alert types,Clock,Alarm,Languages
b'amazon',b'Amazon Fire HD 10 (2017)',b'https://cdn2.gsmarena.com/vv/bigpic/amazon-fire-hd-10-2017.jpg',b'No cellular connectivity',b'N/A',,,,"b'2017, September'","b'Available. Released 2017, October'",b'262 x 159 x 9.8 mm (10.31 x 6.26 x 0.39 in)',b'500 g (1.10 lb)',b'No',"b'IPS LCD capacitive touchscreen, 16M colors'","b'10.1 inches, 295.8 cm2 (~71.0% screen-to-body ratio)'","b'1920 x 1200 pixels, 16:10 ratio (~224 ppi density)'",b'Customized Android 5.1 (Lollipop); Fire 5.3',"b'microSD, up to 256 GB (dedicated slot)'","b'32/64 GB, 2 GB RAM'",b'2 MP',b'720p',b'VGA',b'',"b'Yes, with stereo speakers'",b'Yes',b'Dolby Atmos audio enhancement',"b'Wi-Fi 802.11 a/b/g/n/ac, dual-band'","b'4.1, A2DP, LE'",b'No',b'No',b'microUSB 2.0',b'Accelerometer',b'Text-to-Speech English-language content reader',"b'Black, Marine Blue, Punch Red'",,b'Mediatek MT8173',b'Quad-core (2x1.8 GHz Cortex-A72 & 2x1.4 GHz Cortex-A53)',b'PowerVR G6250',,,,,,b'Non-removable Li-Po 3830 mAh battery (14.2 Wh)',b'About 170 EUR',,,,b'Up to 10 h',b'No',b'No',,,,,,,,,,,,,,,,,,,,
b'amazon',b'Amazon Fire HD 8 (2017)',b'https://cdn2.gsmarena.com/vv/bigpic/amazon-fire-hd-8-2017.jpg',b'No cellular connectivity',b'N/A',,,,"b'2017, May'","b'Available. Released 2017, June'",b'214 x 128 x 9.7 mm (8.43 x 5.04 x 0.38 in)',b'369 g (13.02 oz)',b'No',"b'IPS LCD capacitive touchscreen, 16M colors'","b'8.0 inches, 185.6 cm2 (~67.7% screen-to-body ratio)'","b'800 x 1280 pixels, 16:10 ratio (~189 ppi density)'",b'Customized Android 5.1 (Lollipop); Fire 5.4',"b'microSD, up to 256 GB (dedicated slot)'","b'16/32 GB, 1.5 GB RAM'",b'2 MP',b'720p',b'VGA',b'',"b'Yes, with stereo speakers'",b'Yes',b'Dolby Atmos sound',"b'Wi-Fi 802.11 a/b/g/n, dual-band'","b'4.0, A2DP, LE'",b'No',b'No',b'microUSB 2.0',b'Accelerometer',b'Alexa natural language commands Text-to-Speech English-language content reader',"b'Black, Canary Yellow, Marine Blue, Punch Red'",,b'Mediatek MT8163 (28 nm)',b'Quad-core 1.3 GHz Cortex-A53',b'Mali-T730MP3',,,,,,b'Non-removable Li-Po 3210 mAh battery (11.87 Wh)',b'About 110 EUR',,,,b'Up to 12 h',b'No',b'No',,,,,,,,,,,,,,,,,,,,
b'amazon',b'Amazon Fire 7 (2017)',b'https://cdn2.gsmarena.com/vv/bigpic/amazon-fire-7-2017.jpg',b'No cellular connectivity',b'N/A',,,,"b'2017, May'","b'Available. Released 2017, June'",b'192 x 115 x 9.6 mm (7.56 x 4.53 x 0.38 in)',b'295 g (10.41 oz)',b'No',"b'IPS LCD capacitive touchscreen, 16M colors'","b'7.0 inches, 137.9 cm2 (~62.5% screen-to-body ratio)'","b'600 x 1024 pixels, 16:9 ratio (~170 ppi density)'",b'Customized Android 5.1 (Lollipop); Fire 5.4',"b'microSD, up to 256 GB (dedicated slot)'","b'8/16 GB, 1 GB RAM'",b'2 MP',b'720p',b'VGA',b'',b'Yes',b'Yes',b'Alexa natural language commands Text-to-Speech English-language content reader',"b'Wi-Fi 802.11 a/b/g/n, dual-band'","b'4.0, A2DP, LE'",b'No',b'No',"b'microUSB 2.0, USB On-The-Go'",b'Accelerometer',b'Non-removable Li-Ion 2980 mAh battery',"b'Black, Canary Yellow, Marine Blue, Punch Red'",,b'Mediatek MT8127 (28 nm)',b'Quad-core 1.3 GHz Cortex-A7',b'Mali-450MP4',,,,,,,b'About 70 EUR',,,,b'Up to 8 h',b'No',b'No',,,,,,,,,,,,,,,,,,,,
b'amazon',b'Amazon Fire HD 10',b'https://cdn2.gsmarena.com/vv/bigpic/amazon-fire-hd-10.jpg',b'No cellular connectivity',b'N/A',,,,"b'2015, September'","b'Available. Released 2015, September'",b'262 x 159 x 7.7 mm (10.31 x 6.26 x 0.30 in)',b'432 g (15.24 oz)',b'No',"b'IPS LCD capacitive touchscreen, 16M colors'","b'10.1 inches, 295.8 cm2 (~71.0% screen-to-body ratio)'","b'800 x 1280 pixels, 16:10 ratio (~149 ppi density)'",b'Android OS (customized); Fire 5',"b'microSD, up to 256 GB (dedicated slot)'","b'16/32 GB, 1 GB RAM'",b'5 MP',b'1080p@30fps',b'',b'720p',"b'Yes, with stereo speakers'",b'Yes',b'Dolby Atmos audio enhancement audio enhancement',"b'Wi-Fi 802.11 a/b/g/n/ac, dual-band'","b'4.0, A2DP, LE'",b'No',b'No',b'microUSB 2.0',"b'Accelerometer, gyro'",b'Text-to-Speech English-language content reader',"b'Black, White'",,,b'Quad-core 1.5 GHz',,,,,,,b'Non-removable Li-Ion battery',b'About 210 EUR',,,,b'Up to 8 h',b'No',b'No',,,,,,,,,,,,,,,,,,,,
b'amazon',b'Amazon Fire HD 8',b'https://cdn2.gsmarena.com/vv/bigpic/amazon-fire-hd-8.jpg',b'No cellular connectivity',b'N/A',,,,"b'2015, September'","b'Available. Released 2015, September'",b'214 x 128 x 7.7 mm (8.43 x 5.04 x 0.30 in)',b'311 g (10.97 oz)',b'No',"b'IPS LCD capacitive touchscreen, 16M colors'","b'8.0 inches, 185.6 cm2 (~67.7% screen-to-body ratio)'","b'800 x 1280 pixels, 16:10 ratio (~189 ppi density)'",b'Customized Android 5.1 (Lollipop); Fire 5',"b'microSD, up to 256 GB (dedicated slot)'","b'8/16 GB, 1 GB RAM'",b'5 MP',b'1080p@30fps',b'',b'720p',"b'Yes, with stereo speakers'",b'Yes',b'Dolby Atmos audio enhancement audio enhancement',"b'Wi-Fi 802.11 a/b/g/n/ac, dual-band'","b'4.0, A2DP, LE'",b'No',b'No',"b'microUSB 2.0, USB On-The-Go'","b'Accelerometer, gyro'",b'Text-to-Speech English-language content reader',"b'Black, Magenta, Blue, Tangerine'",,b'Mediatek MT8135',b'Quad-core 1.5 GHz Cortex-A7',b'PowerVR G6200',,,,,,b'Non-removable Li-Ion battery',b'About 130 EUR',,,,b'Up to 8 h',b'No',b'No',,,,,,,,,,,,,,,,,,,,
b'amazon',b'Amazon Fire 7',b'https://cdn2.gsmarena.com/vv/bigpic/amazon-fire-7.jpg',b'No cellular connectivity',b'N/A',,,,"b'2015, September'","b'Available. Released 2015, November'",b'191 x 115 x 10.6 mm (7.52 x 4.53 x 0.42 in)',b'313 g (11.04 oz)',b'No',"b'IPS LCD capacitive touchscreen, 16M colors'","b'7.0 inches, 137.9 cm2 (~62.8% screen-to-body ratio)'","b'600 x 1024 pixels, 16:9 ratio (~170 ppi density)'",b'Customized Android 5.1 (Lollipop); Fire 5 UI',"b'microSD, up to 256 GB (dedicated slot)'","b'8 GB, 1 GB RAM'",b'2 MP',b'720p',b'VGA',b'',b'Yes',b'Yes',b'Free cloud storage for all Amazon content Text-to-Speech English-language content reader',b'Wi-Fi 802.11 b/g/n',"b'4.0, A2DP, LE'",b'No',b'No',b'microUSB 2.0',b'Accelerometer',b'Non-removable Li-Ion 2980 mAh battery',b'Black',,b'Mediatek MT8127 (28 nm)',b'Quad-core 1.3 GHz Cortex-A7',b'Mali-450MP4',,,,,,,b'About 50 EUR',,,,b'Up to 7 h',b'No',b'No',,,,,,,,,,,,,,,,,,,,
b'amazon',b'Amazon Fire HDX 8.9 (2014)',b'https://cdn2.gsmarena.com/vv/bigpic/amazon-Kindle-Fire-HDX-89-2014.jpg',b'GSM / HSPA / LTE',b'GSM 850 / 900 / 1800 / 1900',b'HSDPA',b'LTE (unspecified)',"b'HSPA, LTE'","b'2014, September'","b'Available. Released 2014, October'",b'231 x 158 x 7.8 mm (9.09 x 6.22 x 0.31 in)',b'375 g (Wi-Fi)/ 389 g (4G) (13.23 oz)',b'Micro-SIM',"b'IPS LCD capacitive touchscreen, 16M colors'","b'8.9 inches, 229.7 cm2 (~62.9% screen-to-body ratio)'","b'2560 x 1600 pixels, 16:10 ratio (~339 ppi density)'",b'Android 4.4 (KitKat - customized); Fire 4',b'No',"b'16/32/64 GB, 2 GB RAM'","b'8 MP, AF'",b'Yes',b'',b'720p',"b'Yes, with stereo speakers'",b'Yes',b'Dolby Atmos audio enhancement Active noise cancellation with dedicated mic',"b'Wi-Fi 802.11 a/b/g/n/ac, dual-band'","b'4.0, A2DP'","b'Yes, with A-GPS (4G model)'",b'No',b'microUSB 2.0 (SlimPort)',"b'Accelerometer, gyro'",b'Text-to-Speech English-language content reader',b'Black',,b'Qualcomm APQ8084 Snapdragon 805 (28 nm)',b'Quad-core 2.5 GHz Krait 450',b'Adreno 420',,b'LED flash',,,,b'Non-removable Li-Ion battery',b'About 310 EUR',,,,b'Up to 12 h',b'Yes',b'Yes',,,,,,,,,,,,,,,,,,,,
b'amazon',b'Amazon Fire HD 7',b'https://cdn2.gsmarena.com/vv/bigpic/amazon-fire-hd7.jpg',b'No cellular connectivity',b'N/A',,,,"b'2014, September'","b'Available. Released 2014, October'",b'191 x 128 x 10.6 mm (7.52 x 5.04 x 0.42 in)',b'337 g (11.89 oz)',b'No',"b'IPS LCD capacitive touchscreen, 16M colors'","b'7.0 inches, 142.1 cm2 (~58.1% screen-to-body ratio)'","b'800 x 1280 pixels, 16:10 ratio (~216 ppi density)'",b'Android 4.4 (KitKat - customized); Fire 4',b'No',"b'8/16 GB, 1 GB RAM'",b'2 MP',b'1080p@30fps',b'VGA',b'',"b'Yes, with stereo speakers'",b'Yes',b'Dolby Digital Plus audio enhancement',b'Wi-Fi 802.11 b/g/n',"b'4.0, A2DP'",b'No',b'No',b'microUSB 2.0 (SlimPort)',"b'Accelerometer, gyro'",b'Text-to-Speech English-language content reader',"b'Black, White, Cobalt, Magenta, Citron'",b'Corning Gorilla Glass',,b'Quad-core (2x1.5 GHz & 2x1.2 GHz)',,,,,,,b'Non-removable Li-Ion battery',b'About 120 EUR',,,,b'Up to 8 h',b'No',b'No',,,,,,,,,,,,,,,,,,,,
b'amazon',b'Amazon Fire HD 6',b'https://cdn2.gsmarena.com/vv/bigpic/amazon-fire-hd6.jpg',b'No cellular connectivity',b'N/A',,,,"b'2014, September'","b'Available. Released 2014, October'",b'169 x 103 x 10.7 mm (6.65 x 4.06 x 0.42 in)',b'290 g (10.23 oz)',b'No',"b'IPS LCD capacitive touchscreen, 16M colors'","b'6.0 inches, 104.4 cm2 (~60.0% screen-to-body ratio)'","b'800 x 1280 pixels, 16:10 ratio (~252 ppi density)'",b'Android 4.4 (KitKat - customized); Fire 4',b'No',"b'8/16 GB, 1 GB RAM'",b'2 MP',b'1080p@30fps',b'VGA',b'',b'Yes',b'Yes',b'Dolby Digital Plus audio enhancement',b'Wi-Fi 802.11 b/g/n',"b'4.0, A2DP'",b'No',b'No',b'microUSB 2.0 (SlimPort)',"b'Accelerometer, gyro'",b'Text-to-Speech English-language content reader',"b'Black, White, Cobalt, Magenta, Citron'",b'Corning Gorilla Glass',,b'Quad-core (2x1.5 GHz & 2x1.2 GHz)',,,,,,,b'Non-removable Li-Ion battery',b'About 90 EUR',,,,b'Up to 8 h',b'No',b'No',,,,,,,,,,,,,,,,,,,,
b'amazon',b'Amazon Fire Phone',b'https://cdn2.gsmarena.com/vv/bigpic/amazon-fire-phone.jpg',b'GSM / HSPA / LTE',b'GSM 850 / 900 / 1800 / 1900',b'HSDPA 850 / 900 / 1700 / 1900 / 2100',"b'LTE band 1(2100), 2(1900), 3(1800), 4(1700/2100), 5(850), 7(2600), 8(900), 17(700), 20(800)'","b'HSPA, LTE'","b'2014, June'","b'Available. Released 2014, July'",b'139.2 x 66.5 x 8.9 mm (5.48 x 2.62 x 0.35 in)',b'160 g (5.64 oz)',b'Nano-SIM',"b'IPS LCD capacitive touchscreen, 16M colors'","b'4.7 inches, 60.9 cm2 (~65.8% screen-to-body ratio)'","b'720 x 1280 pixels, 16:9 ratio (~312 ppi density)'","b'Amazon Fire 3.5 (Android based), upgradable to 3.6.5'",b'No',"b'32/64 GB, 2 GB RAM'","b'13 MP, AF, OIS'",b'1080p@30fps',b'2.1 MP',b'',"b'Yes, with stereo speakers'",b'Yes',"b'3D Dynamic Perspective UI (based on 4 front cameras) System wide tilt, auto-scroll, swivel, and peek functions'","b'Wi-Fi 802.11 a/b/g/n/ac, dual-band'",b'3.0',"b'Yes, with A-GPS, GLONASS'",b'No',b'microUSB 2.0',"b'Accelerometer, gyro, proximity, compass, barometer'",b'Dolby Digital Plus audio enhancement Active noise cancellation with dedicated mic',b'Black',b'Corning Gorilla Glass 3 (front and back)',b'Qualcomm Snapdragon 800 (28 nm)',b'Quad-core 2.2 GHz Krait 400',b'Adreno 330',,"b'LED flash, HDR'",,b'Yes',"b'SD4930UR, Fire Phone'",b'Non-removable Li-Ion 2400 mAh battery',b'About 160 EUR',,,b'Up to 285 h',b'Up to 22 h',,,,b'Up to 65 h',,,,,,,,,,,,,,,,,,
b'amazon',b'Amazon Kindle Fire HDX 8.9',b'https://cdn2.gsmarena.com/vv/bigpic/amazon-Kindle-Fire-HDX-89.jpg',b'GSM / HSPA / EVDO / LTE',b'GSM 850 / 900 / 1800 / 1900',b'HSDPA',b'LTE (unspecified)',"b'HSPA, LTE'","b'2013, September. Released 2013, November'",b'Discontinued',b'231 x 158 x 7.8 mm (9.09 x 6.22 x 0.31 in)',b'374 g (Wi-Fi)/ 384 g (4G) (13.19 oz)',b'Nano-SIM',"b'IPS LCD capacitive touchscreen, 16M colors'","b'8.9 inches, 229.7 cm2 (~62.9% screen-to-body ratio)'","b'2560 x 1600 pixels, 16:10 ratio (~339 ppi density)'",b'Android OS (Jelly Bean - customized); Fire 3',b'No',"b'16/32/64 GB, 2 GB RAM'","b'8 MP, AF'",b'Yes',,,"b'Yes, with stereo speakers'",b'Yes',b'CDMA',"b'Wi-Fi 802.11 a/b/g/n, dual-band'",b'Yes',"b'Yes, with A-GPS (4G model)'",b'No',b'microUSB 2.0',"b'Accelerometer, gyro'",b'CDMA2000 1xEV-DO',b'Black',,b'Qualcomm Snapdragon 800 (28 nm)',b'Quad-core 2.2 GHz Krait 400',b'Adreno 330',,b'LED flash',,,,b'Non-removable Li-Ion battery',b'About 280 EUR',,,,b'Up to 12 h',b'Yes',b'Yes',,,,,,,,,,,,,,,,,,,,
b'amazon',b'Amazon Kindle Fire HDX',b'https://cdn2.gsmarena.com/vv/bigpic/amazon-Kindle-Fire-HDX.jpg',b'GSM / HSPA / EVDO / LTE',b'GSM 850 / 900 / 1800 / 1900',b'HSDPA',b'LTE (unspecified)',"b'HSPA, LTE'","b'2013, September. Released 2013, October'",b'Discontinued',b'186 x 128 x 9 mm (7.32 x 5.04 x 0.35 in)',b'303 g (Wi-Fi)/ 311 g (4G) (10.69 oz)',b'Micro-SIM',"b'IPS LCD capacitive touchscreen, 16M colors'","b'7.0 inches, 142.1 cm2 (~59.7% screen-to-body ratio)'","b'1200 x 1920 pixels, 16:10 ratio (~323 ppi density)'",b'Android OS (Jelly Bean - customized); Fire 3',b'No',"b'16/32/64 GB, 2 GB RAM'",b'1.3 MP',b'720p',,,"b'Yes, with stereo speakers'",b'Yes',b'CDMA',"b'Wi-Fi 802.11 a/b/g/n, dual-band'",b'Yes',"b'Yes, with A-GPS (4G model)'",b'No',b'microUSB 2.0',"b'Accelerometer, gyro'",b'CDMA2000 1xEV-DO',b'Black',,b'Qualcomm Snapdragon 800 (28 nm)',b'Quad-core 2.2 GHz Krait 400',b'Adreno 330',,,,,,b'Non-removable Li-Ion battery',b'About 170 EUR',,,,b'Up to 11 h',b'Yes',b'Yes',,,,,,,,,,,,,,,,,,,,
b'amazon',b'Amazon Kindle Fire HD (2013)',b'https://cdn2.gsmarena.com/vv/bigpic/amazon-Kindle-Fire-HD.jpg',b'No cellular connectivity',b'N/A',,,,"b'2013, September. Released 2013, September'",b'Discontinued',b'191 x 128 x 10.6 mm (7.52 x 5.04 x 0.42 in)',b'345 g (12.17 oz)',b'No',"b'IPS LCD capacitive touchscreen, 16M colors'","b'7.0 inches, 142.1 cm2 (~58.1% screen-to-body ratio)'","b'800 x 1280 pixels, 16:10 ratio (~216 ppi density)'",b'Android OS (Jelly Bean - customized)',b'No',"b'8/16 GB, 1 GB RAM'",,,,,"b'Yes, with stereo speakers'",b'Yes',b'No',"b'Wi-Fi 802.11 a/b/g/n, dual-band'",b'Yes',b'No',b'No',b'microUSB 2.0',"b'Accelerometer, gyro'",b'Dolby Digital Plus audio enhancement',b'Black',,,b'Dual-core 1.5 GHz',,,,,,,b'Non-removable Li-Ion battery',b'About 100 EUR',,,,b'Up to 10 h',b'No',b'No',,,,,,,,,,,,,,,,,,,,
b'amazon',b'Amazon Kindle Fire HD 8.9 LTE',b'https://cdn2.gsmarena.com/vv/bigpic/amazon-kindle-fire-hd-89.jpg',b'GSM / HSPA / LTE',b'GSM 850 / 900 / 1800 / 1900',b'HSDPA',b'LTE (unspecified)',"b'HSPA, LTE'","b'2012, September. Released 2012, October'",b'Discontinued',b'240 x 164 x 8.8 mm (9.45 x 6.46 x 0.35 in)',b'575 g (1.27 lb)',b'Mini-SIM',"b'IPS LCD capacitive touchscreen, 16M colors'","b'8.9 inches, 229.7 cm2 (~58.4% screen-to-body ratio)'","b'1920 x 1200 pixels, 16:10 ratio (~254 ppi density)'",b'Android 4.0 (customized)',b'No',"b'32/64 GB, 1 GB RAM'",b'1.3 MP',b'No',,,"b'Yes, with stereo speakers'",b'Yes',b'No',"b'Wi-Fi 802.11 a/b/g/n, dual-band'",b'Yes',"b'Yes, with A-GPS'",b'No',b'2.0',"b'Accelerometer, gyro, compass'",b'Dolby Digital Plus audio enhancement',b'Black',,b'TI OMAP 4470',b'Dual-core 1.5 GHz Cortex-A9',b'PowerVR SGX544',,,,,,b'Non-removable Li-Ion battery',b'About 380 EUR',,,,,b'Yes',b'Yes',,,,,,,,,,,,,,,,,,,,
b'amazon',b'Amazon Kindle Fire HD 8.9',b'https://cdn2.gsmarena.com/vv/bigpic/amazon-kindle-fire-hd-89.jpg',b'No cellular connectivity',b'N/A',,,,"b'2012, September. Released 2012, October'",b'Discontinued',b'240 x 164 x 8.8 mm (9.45 x 6.46 x 0.35 in)',b'567 g (1.25 lb)',b'No',"b'IPS LCD capacitive touchscreen, 16M colors'","b'8.9 inches, 229.7 cm2 (~58.4% screen-to-body ratio)'","b'1920 x 1200 pixels, 16:10 ratio (~254 ppi density)'",b'Android 4.0 (customized)',b'No',"b'16/32 GB, 1 GB RAM'",b'1.3 MP',b'No',,,"b'Yes, with stereo speakers'",b'Yes',b'No',"b'Wi-Fi 802.11 a/b/g/n, dual-band'",b'Yes',b'No',b'No',b'2.0',"b'Accelerometer, gyro'",b'Dolby Digital Plus audio enhancement',b'Black',,b'TI OMAP 4470',b'Dual-core 1.5 GHz Cortex-A9',b'PowerVR SGX544',,,,,,b'Non-removable Li-Ion battery',b'About 200 EUR',,,,,b'No',b'No',,,,,,,,,,,,,,,,,,,,
b'amazon',b'Amazon Kindle Fire HD',b'https://cdn2.gsmarena.com/vv/bigpic/amazon-kindle-fire-hd.jpg',b'No cellular connectivity',b'N/A',,,,"b'2012, September. Released 2012, September'",b'Discontinued',b'193 x 137 x 10.3 mm (7.60 x 5.39 x 0.41 in)',b'395 g (13.93 oz)',b'No',"b'IPS LCD capacitive touchscreen, 16M colors'","b'7.0 inches, 142.1 cm2 (~53.7% screen-to-body ratio)'","b'800 x 1280 pixels, 16:10 ratio (~216 ppi density)'",b'Android 4.0 (customized)',b'No',"b'16/32 GB, 1 GB RAM'",b'1.3 MP',b'No',,,"b'Yes, with stereo speakers'",b'Yes',b'No',"b'Wi-Fi 802.11 a/b/g/n, dual-band'",b'Yes',b'No',b'No',b'2.0',"b'Accelerometer, gyro'",b'Dolby Digital Plus audio enhancement',b'Black',,b'TI OMAP 4460',b'Dual-core 1.2 GHz Cortex-A9',b'PowerVR SGX540',,,,,,b'Non-removable Li-Ion battery',b'About 150 EUR',,,,b'Up to 11 h',b'No',b'No',,,,,,,,,,,,,,,,,,,,
b'amazon',b'Amazon Kindle Fire',b'https://cdn2.gsmarena.com/vv/bigpic/amazon-kindle-fire.jpg',b'No cellular connectivity',b'N/A',,,,"b'2011, September. Released 2011, November'",b'Discontinued',b'190 x 120 x 11.4 mm (7.48 x 4.72 x 0.45 in)',b'413 g (14.57 oz)',b'No',"b'IPS LCD capacitive touchscreen, 16M colors'","b'7.0 inches, 137.9 cm2 (~60.5% screen-to-body ratio)'","b'600 x 1024 pixels, 16:9 ratio (~170 ppi density)'",b'Android 2.3 (customized)',b'No',"b'8 GB, 512 MB RAM'",,,,,b'Yes',b'Yes',b'No',b'Wi-Fi 802.11 b/g/n',b'No',b'No',b'No',b'Proprietary',b'Accelerometer',b'MP4/VP8 player MP3/WAV/AAC/OGG/MIDI player Organizer Predictive text input',b'Black',,b'TI OMAP 4430',b'Dual-core 1.0 GHz Cortex-A9',b'PowerVR SGX540',,,,,,b'Non-removable Li-Ion 4400 mAh battery',b'About 120 EUR',,,,,b'No',b'No',,,,,,,,,b'Contrast ratio: 896:1 (nominal)',,b'Voice 66dB / Noise 63dB / Ring 66dB',b'Noise -87.8dB / Crosstalk -83.2dB',,,,,,,,
