Brand,Model Name,Model Image,Technology,2G bands,3G bands,4G bands,Speed,Announced,Status,Dimensions,Weight,SIM,Type,Size,Resolution,OS,Card slot,Internal,Single,Video,Single_1,Video_1,Loudspeaker,3.5mm jack,,WLAN,Bluetooth,GPS,Radio,USB,Sensors,_1,Colors,Protection,Chipset,CPU,GPU,Dual,Features,Features_1,NFC,Models,_1_1,Price,Infrared port,Charging,Stand-by,Talk time,GPRS,EDGE,Build,Music play,Phonebook,Call records,Messaging,Games,Java,SAR EU,Display,Camera,Loudspeaker_1,Audio quality,Battery life,SAR,Keyboard,Browser,Alert types,Clock,Alarm,Languages,Dual_1,Performance,Triple
b'benq',b'BenQ M580',b'https://cdn2.gsmarena.com/vv/bigpic/benq-m580.gif',b'GSM',b'GSM 900 / 1800 / 1900',,,,"b'2006, Q1'",b'Discontinued',b'88 x 44 x 22 mm (3.46 x 1.73 x 0.87 in)',b'95 g (3.35 oz)',b'Mini-SIM',"b'CSTN, 65K colors'","b'1.8 inches, 29 x 35 mm, 10.2 cm2 (~26.3% screen-to-body ratio)'",b'128 x 160 pixels (~114 ppi density)',,b'No',b'2 MB',b'VGA',b'No',,,b'No',b'No',b'Second external mono OLED display 96 x 32 pixels Wallpapers',b'No',b'1.2',b'No',b'No',b'No',b'',b'No',"b'Mercury Silver, Ebony Black, Pearl White'",,,,,,,,,,b'Removable Li-Ion 870 mAh battery',,,,b'Up to 155 h',b'Up to 5 h 30 min',b'Class 10',b'No',,,b'500 entries',"b'10 dialed, 10 received, 10 missed calls'","b'SMS, MMS'",b'2 + downloadable',"b'Yes, MIDP 2.0'",,,,,,,,,b'WAP 2.0/xHTML',b'Polyphonic(40) ringtones',,,,,,
b'benq',b'BenQ U700',b'https://cdn2.gsmarena.com/vv/bigpic/bqu700.gif',b'GSM',b'GSM 900 / 1800 / 1900',,,,"b'2005, Q1'",b'Cancelled',b'97 x 46 x 27 mm (3.82 x 1.81 x 1.06 in)',b'135 g (4.76 oz)',b'Mini-SIM',"b'TFT, 256K colors'",b'',b'176 x 220 pixels',,b'miniSD',,b'1.3 MP',b'Yes',,,b'No',b'No',b'Wallpapers Downloadable pictures',b'No',b'No',b'No',b'No',b'Proprietary',b'',b'No',b'',,,,,,b'LED flash',,,,b'Removable Li-Ion 1000 mAh battery',,b'Yes',,b'Up to 200 h',b'Up to 4 h',b'Class 10',b'No',,,b'500 entries',"b'10 dialed, 10 received, 10 missed calls'","b'SMS, EMS, MMS, EMail'",b'Yes',b'Yes',,,,,,,,,b'WAP 2.0/xHTML',"b'Vibration; Downloadable polyphonic, MP3 ringtones'",,,,,,
b'benq',b'BenQ Z2',b'https://cdn2.gsmarena.com/vv/bigpic/bqz2.gif',b'GSM',b'GSM 900 / 1800 / 1900',,,,"b'2005, Q1'",b'Discontinued',b'66 x 66 x 20 mm (2.60 x 2.60 x 0.79 in)',b'106 g (3.74 oz)',b'Mini-SIM',"b'TFT, 256K colors'","b'1.5 inches, 27 x 27 mm, 7.3 cm2 (~16.7% screen-to-body ratio)'","b'128 x 128 pixels, 1:1 ratio (~121 ppi density)'",,b'miniSD',b'60 MB',b'1.3 MP',b'No',,,b'Yes',b'No',b'Wallpapers Downloadable pictures',b'No',b'No',b'No',b'FM radio',b'Proprietary',b'',b'No',"b'Vanilla White, Berry Blue, Wasabi Green, Bubblegum Pink'",,,,,,b'LED flash',,,,b'Removable Li-Ion 1000 mAh battery',,,,b'Up to 150 h',b'Up to 5 h',b'Class 10',b'No',,,b'500 entries',"b'10 dialed, 10 received, 10 missed calls'","b'SMS, EMS, MMS'",b'Yes',b'Yes',,,,,,,,,b'WAP 2.0/xHTML',"b'Vibration; Downloadable polyphonic, MP3 ringtones, composer'",,,,,,
b'benq',b'BenQ M315',b'https://cdn2.gsmarena.com/vv/bigpic/benq-m315.gif',b'GSM',b'GSM 900 / 1800 / 1900',,,,"b'2005, Q1'",b'Discontinued',b'102 x 44 x 18 mm (4.02 x 1.73 x 0.71 in)',b'86 g (3.03 oz)',b'Mini-SIM',"b'CSTN, 65K colors'","b'1.5 inches, 27 x 27 mm, 7.3 cm2 (~16.2% screen-to-body ratio)'","b'128 x 128 pixels, 1:1 ratio (~121 ppi density)'",,b'No',,b'CIF',b'No',,,b'No',b'No',b'Wallpapers',b'No',b'1.1',b'No',b'No',b'Proprietary',b'',b'300 SMS messages 20 CIF(352 x 288) photos',b'Express Silver',,,,,,,,,,b'Removable Li-Ion 760 mAh battery',,,,b'Up to 140 h',b'Up to 5 h',b'Class 10',b'No',,,b'500 entries',"b'10 dialed, 10 received, 10 missed calls'","b'SMS, MMS'","b'Eda Mouse, Cherry Boy'",b'No',,,,,,,,,b'WAP 2.0/xHTML',"b'Polyphonic(16) - SMAF, iMelody, Midi ringtones'",,,,,,
b'benq',b'BenQ M220',b'https://cdn2.gsmarena.com/vv/bigpic/benq-m220.gif',b'GSM',b'GSM 900 / 1800 / 1900',,,,"b'2005, Q1'",b'Discontinued',b'102 x 44 x 18 mm (4.02 x 1.73 x 0.71 in)',b'86 g (3.03 oz)',b'Mini-SIM',"b'CSTN, 65K colors'","b'1.5 inches, 27 x 27 mm, 7.3 cm2 (~16.2% screen-to-body ratio)'","b'128 x 128 pixels, 1:1 ratio (~121 ppi density)'",,b'No',,,,,,b'No',b'No',b'Wallpapers',b'No',b'No',b'No',b'FM radio',b'Proprietary',b'',b'300 SMS messages',"b'Cool Silver, Stark White, Crystal Black'",,,,,,,,,,b'Removable Li-Ion 760 mAh battery',,,,b'Up to 140 h',b'Up to 5 h',b'Class 10',b'No',,,b'500 entries',"b'10 dialed, 10 received, 10 missed calls'","b'SMS, EMS, MMS'","b'Eda Mouse, Cherry Boy'",b'No',,,,,,,,,b'WAP 2.0/xHTML',"b'Vibration; Polyphonic(16) - SMAF, iMelody, Midi ringtones'",,,,,,
b'benq',b'BenQ S80',b'https://cdn2.gsmarena.com/vv/bigpic/bqs80.gif',b'GSM / UMTS',b'GSM 900 / 1800',b'UMTS 2100',,"b'Yes, 384 kbps'","b'2005, Q1'",b'Discontinued',b'90 x 45 x 24 mm (3.54 x 1.77 x 0.94 in)',b'110 g (3.88 oz)',b'Mini-SIM',"b'TFT, 256K colors'","b'2.0 inches, 31 x 39 mm, 12.6 cm2 (~31.1% screen-to-body ratio)'",b'176 x 220 pixels (~141 ppi density)',,b'miniSD',b'10 MB',b'1.3 MP',b'Yes',,,b'No',b'No',"b'Second CSTN display (96 x 64 pixels), 65K colors Wallpapers Downloadable pictures'",b'No',b'1.1',b'No',b'No',b'Proprietary',b'',b'CIF videocall camera',"b'Red, Black'",,,,,,b'LED flash',,,,b'Removable Li-Ion 840 mAh battery',,b'Yes',,b'Up to 300 h',b'Up to 4 h',,,,,"b'500 entries, Photo call'","b'10 dialed, 10 received, 10 missed calls'","b'SMS, MMS'",b'Yes',"b'Yes, MIDP 2.0'",,,,,,,,,b'WAP 2.0/xHTML',"b'Vibration; Downloadable polyphonic, MP3 ringtones'",,,,,,
b'benq',b'BenQ A520',b'https://cdn2.gsmarena.com/vv/bigpic/bqa520.gif',b'GSM',b'GSM 900 / 1800 / 1900',,,,"b'2005, Q1'",b'Discontinued',b'82.5 x 44.8 x 22.6 mm (3.25 x 1.76 x 0.89 in)',b'96 g (3.39 oz)',b'Mini-SIM',"b'OLED, 65K colors'","b'1.5 inches, 27 x 27 mm, 7.3 cm2 (~19.6% screen-to-body ratio)'","b'128 x 128 pixels, 1:1 ratio (~121 ppi density)'",,b'No',b'2 MB',b'VGA',b'No',,,b'No',b'No',"b'Second external OLED, 65K colors display (96 x 39 pixels) Wallpapers Downloadable pictures'",b'No',b'No',b'No',b'No',b'Proprietary',b'',b'No',"b'Black, White'",,,,,,,,,,b'Removable Li-Ion 700 mAh battery',,,,b'Up to 120 h',b'Up to 3 h',b'Class 10',b'No',,,b'500 entries',"b'10 dialed, 10 received, 10 missed calls'","b'SMS, EMS, MMS'",b'Yes',"b'Yes, MIDP 1.0'",,,,,,,,,b'WAP 2.0/xHTML',"b'Vibration; Downloadable polyphonic ringtones, composer'",,,,,,
b'benq',b'BenQ M350',b'https://cdn2.gsmarena.com/vv/bigpic/benq-m350.gif',b'GSM',b'GSM 900 / 1800 / 1900',,,,"b'2005, Q2'",b'Discontinued',b'83 x 45 x 23 mm (3.27 x 1.77 x 0.91 in)',b'85 g (3.00 oz)',b'Mini-SIM',"b'CSTN, 65K colors'","b'1.5 inches, 27 x 27 mm, 7.3 cm2 (~19.4% screen-to-body ratio)'","b'128 x 128 pixels, 1:1 ratio (~121 ppi density)'",,b'No',,b'CIF',b'Yes',,,b'No',b'No',"b'Second external STN, 65K colors display (96 x 32 pixels)'",b'No',b'No',b'No',b'No',b'Proprietary',b'',b'No',"b'Black, White'",,,,,,,,,,b'Removable Li-Ion 740 mAh battery',,,,b'Up to 200 h',b'Up to 5 h',b'Yes',b'No',,,"b'500 entries, Photo call'","b'10 dialed, 10 received, 10 missed calls'","b'SMS, EMS, MMS'",b'Yes',b'Yes',,,,,,,,,b'WAP 2.0/xHTML',b'Vibration; Polyphonic(16) ringtones',,,,,,
b'benq',b'BenQ A500',b'https://cdn2.gsmarena.com/vv/bigpic/bqa500.gif',b'GSM',b'GSM 900 / 1800 / 1900',,,,"b'2004, Q4'",b'Discontinued',b'83.5 x 45 x 23.1 mm (3.29 x 1.77 x 0.91 in)',b'98 g (3.46 oz)',b'Mini-SIM',"b'TFT, 256K colors'","b'1.9 inches, 30 x 37 mm, 11.4 cm2 (~30.2% screen-to-body ratio)'",b'128 x 160 pixels (~108 ppi density)',,b'No',b'20 MB',b'VGA',b'Yes',,,b'No',b'No',"b'Second external CSTN display, 4096 colors Wallpapers, themes Downloadable pictures'",b'No',b'No',b'No',b'No',b'',b'',b'1000 short messages',"b'3 - Electric Blue, Cool Pink, Funky Gold'",,,,,,,,,,b'Removable Li-Ion 700 mAh battery',,b'Yes',,b'Up to 180 h',b'Up to 3 h',b'Class 10',b'No',,,"b'500 x 8 fields, Photo call'","b'30 dialed, 30 received, 30 missed calls'","b'SMS, EMS, MMS'",b'3 + 2 pre-loaded Java games + downloadable',b'Yes',,,,,,,,,b'WAP 2.0/xHTML',"b'Vibration; Downloadable polyphonic ringtones, composer'",,,,,,
b'benq',b'BenQ S680C',b'https://cdn2.gsmarena.com/vv/bigpic/bqs680c.gif',b'GSM',b'GSM 900 / 1800 / 1900',,,,"b'2004, Q3'",b'Discontinued',b'81 x 44 x 22 mm (3.19 x 1.73 x 0.87 in)',b'80 g (2.82 oz)',b'Mini-SIM',"b'CSTN, 65K colors'","b'1.5 inches, 27 x 27 mm, 7.3 cm2 (~20.4% screen-to-body ratio)'","b'128 x 128 pixels, 1:1 ratio (~121 ppi density)'",,b'No',,b'VGA',b'No',,,b'No',b'No',b'Second external OLED display 96 x 39 pixels Wallpapers Downloadable pictures',b'No',b'No',b'No',b'No',b'',b'',b'No',b'',,,,,,,,,,b'Removable Li-Ion battery',,,,b'Up to 100 h',b'Up to 3 h',b'Class 10',b'No',,,b'500',"b'10 dialed, 10 received, 10 missed calls'","b'SMS, MMS'",b'Yes + downloadable',"b'Yes, MIDP 1.0'",,,,,,,,,b'WAP 2.0/xHTML',b'Vibration; Downloadable polyphonic ringtones',,,,,,
b'benq',b'BenQ P50',b'https://cdn2.gsmarena.com/vv/bigpic/bqp50.gif',b'GSM',b'GSM 850 / 900 / 1800 / 1900',,,,"b'2004, Q1'",b'Discontinued',b'122 x 60 x 20 mm (4.80 x 2.36 x 0.79 in)',b'170 g (6.00 oz)',b'Mini-SIM',"b'TFT resistive touchscreen, 65K colors'","b'2.8 inches, 42 x 57 mm, 24.3 cm2 (~33.2% screen-to-body ratio)'","b'240 x 320 pixels, 4:3 ratio (~143 ppi density)'",b'Microsoft Windows PocketPC 2003 Phone edition',"b'MMC/SDIO, up to 2 GB'","b'64 MB RAM, 64 MB ROM'",b'1.3 MP',b'Yes',,,b'Yes',b'No',b'Wallpapers Downloadable pictures',b'Wi-Fi 802.11b',b'1.1',b'No',b'No',b'Proprietary',b'',b'',b'',,,b'Intel PXA272 416 MHz',,,,,,,b'Removable Li-Ion 1240 mAh battery',,b'Yes',,b'Up to 120 h',b'Up to 4 h',b'Class 10',b'No',,,,,,,,,,,,,,,b'QWERTY',"b'WAP 2.0/xHTML, HTML'","b'Vibration; Downloadable polyphonic, MP3 ringtones'",,,,,,
b'benq',b'BenQ P31',b'https://cdn2.gsmarena.com/vv/bigpic/bqp31.gif',b'GSM',b'GSM 900 / 1800 / 1900',,,,"b'2004, Q1'",b'Discontinued',b'118 x 52 x 17 mm (4.65 x 2.05 x 0.67 in)',b'150 g (5.29 oz)',b'Mini-SIM',"b'TFT resistive touchscreen, 65K colors'",b'',"b'208 x 320 pixels, 3:2 ratio'","b'Symbian 7.0, UIQ v2.1 UI'",b'SD/MMC',,b'1.3 MP',b'Yes',,,b'Yes',b'No',b'Wallpapers Downloadable pictures',b'No',b'1.1',b'No',b'No',b'Proprietary',b'',b'No',b'',,b'TI OMAP V1030',b'144 MHz',,,,,,,b'Removable Li-Ion battery',,b'Yes',,b'Up to 120 h',b'Up to 5 h',b'Class 10',b'No',,,,,,,,,,,,,,,,b'WAP 2.0/xHTML',b'Vibration; Downloadable polyphonic ringtones',,,,,,
b'benq',b'BenQ P30',b'https://cdn2.gsmarena.com/vv/bigpic/bqp30.gif',b'GSM',b'GSM 900 / 1800 / 1900',,,,"b'2004, Q1'",b'Discontinued',b'118 x 52 x 17 mm (4.65 x 2.05 x 0.67 in)',b'150 g (5.29 oz)',b'Mini-SIM',"b'TFT resistive touchscreen, 256K colors'","b'2.6 inches, 36 x 55 mm, 19.9 cm2 (~32.5% screen-to-body ratio)'","b'208 x 320 pixels, 3:2 ratio (~147 ppi density)'","b'Symbian 7.0, UIQ v2.1 UI'",b'SD/MMC',,b'VGA',b'Yes',,,b'Yes',b'No',b'Wallpapers Downloadable pictures',b'No',b'1.1',b'No',b'No',b'Proprietary',b'',b'No',b'',,b'TI OMAP V1030',b'144 MHz',,,,,,,b'Removable Li-Ion battery',,b'Yes',,b'Up to 120 h',b'Up to 5 h',b'Class 10',b'No',,,,,,,,,,,,,,,,"b'WAP 2.0/xHTML, HTML (Opera)'",b'Vibration; Downloadable polyphonic ringtones',,,,,,
b'benq',b'BenQ S700',b'https://cdn2.gsmarena.com/vv/bigpic/bqs700.gif',b'GSM',b'GSM 900 / 1800 / 1900',,,,"b'2004, Q1'",b'Discontinued',b'82 x 41 x 21 mm (3.23 x 1.61 x 0.83 in)',b'90 g (3.17 oz)',b'Mini-SIM',"b'TFT, 256K colors'","b'1.8 inches, 29 x 35 mm, 10.2 cm2 (~30.3% screen-to-body ratio)'",b'128 x 160 pixels (~114 ppi density)',,b'miniSD',b'15 MB',b'1.3 MP',b'Yes',,,b'Yes',b'No',"b'Second CSTN display (96 x 64 pixels), 4096 colors Animated wallpapers Downloadable pictures'",b'No',b'No',b'No',b'No',b'Proprietary',b'',b'No',"b'3 - Mysterious Black, Classic Silver, Progressive Blue'",,,,,,b'LED flash',,,,b'Removable Li-Ion battery',,b'Yes',,b'Up to 100 h',b'Up to 3 h',b'Class 10',b'No',,,"b'500 entries, Photo call'","b'30 dialed, 30 received, 30 missed calls'","b'SMS, EMS, MMS'",b'4 + downloadable',"b'Yes, MIDP 2.0'",,,,,,,,,b'WAP 2.0/xHTML',"b'Vibration; Downloadable polyphonic ringtones, composer'",,,,,,
b'benq',b'BenQ M300',b'https://cdn2.gsmarena.com/vv/bigpic/bqm300.gif',b'GSM',b'GSM 900 / 1800 / 1900',,,,"b'2004, Q1'",b'Discontinued',b'102 x 44 x 18 mm (4.02 x 1.73 x 0.71 in)',b'86 g (3.03 oz)',b'Mini-SIM',"b'CSTN, 65K colors'","b'1.5 inches, 27 x 27 mm, 7.3 cm2 (~16.2% screen-to-body ratio)'","b'128 x 128 pixels, 1:1 ratio (~121 ppi density)'",,b'No',,b'CIF',b'No',,,b'No',b'No',b'Wallpapers Downloadable pictures',b'No',b'No',b'No',b'No',b'',b'',b'No',b'Arctic White',,,,,,,,,,b'Removable Li-Ion 760 mAh battery',,,,b'Up to 230 h',b'Up to 5 h',b'Class 10',b'No',,,b'500',"b'10 dialed, 10 received, 10 missed calls'","b'SMS, EMS, MMS'","b'Eda Mouse, Cherry Boy'",b'No',,,,,,,,,b'WAP 2.0/xHTML',"b'Vibration; Downloadable polyphonic - SMAF, iMelody, Midi ringtones'",,,,,,
b'benq',b'BenQ M100',b'https://cdn2.gsmarena.com/vv/bigpic/bqm100.gif',b'GSM',b'GSM 900 / 1800 / 1900',,,,"b'2004, Q1'",b'Discontinued',b'102 x 44 x 18 mm (4.02 x 1.73 x 0.71 in)',b'86 g (3.03 oz)',b'Mini-SIM',"b'CSTN, 65K colors'","b'1.5 inches, 27 x 27 mm, 7.3 cm2 (~16.2% screen-to-body ratio)'","b'128 x 128 pixels, 1:1 ratio (~121 ppi density)'",,b'No',,,,,,b'No',b'No',b'Wallpapers Downloadable pictures',b'No',b'No',b'No',b'No',b'',b'',b'No',"b'White, Dark blue, Claret, Gray'",,,,,,,,,,b'Removable Li-Ion 760 mAh battery',,,,b'Up to 120 h',b'Up to 3 h',b'No',b'No',,,b'500',"b'30 received, dialed and missed calls'",b'SMS',"b'3 - Box World, Mini Mouse, Cherry Boy'",b'No',,,,,,,,,b'',b'Vibration; Downloadable polyphonic ringtones',,,,,,
b'benq',b'BenQ S670C',b'https://cdn2.gsmarena.com/vv/bigpic/bqs670c.gif',b'GSM',b'GSM 900 / 1800 / 1900',,,,"b'2004, Q1'",b'Discontinued',b'81 x 44 x 22 mm (3.19 x 1.73 x 0.87 in)',b'80 g (2.82 oz)',b'Mini-SIM',"b'CSTN, 65K colors'","b'1.5 inches, 27 x 27 mm, 7.3 cm2 (~20.4% screen-to-body ratio)'","b'128 x 128 pixels, 1:1 ratio (~121 ppi density)'",,b'No',,b'VGA',b'No',,,b'No',b'No',b'Second external OLED display 96 x 39 pixels Wallpapers Downloadable pictures',b'No',b'No',b'No',b'No',b'',b'',b'300KB memory for Java applications',"b'2 - Genie silver, Party blue'",,,,,,,,,,b'Removable Li-Ion battery',,,,b'Up to 100 h',b'Up to 3 h',b'Class 10',b'No',,,b'500 entries',"b'10 dialed, 10 received, 10 missed calls'","b'SMS, EMS, MMS'",b'Yes',"b'Yes, MIDP 1.0'",,,,,,,,,b'WAP 2.0/xHTML',"b'Vibration; Downloadable polyphonic ringtones, composer'",,,,,,
b'benq',b'BenQ S660C',b'https://cdn2.gsmarena.com/vv/bigpic/bqs660c.gif',b'GSM',b'GSM 900 / 1800 / 1900',,,,"b'2004, Q1'",b'Discontinued',b'81 x 44 x 21 mm (3.19 x 1.73 x 0.83 in)',b'75 g (2.65 oz)',b'Mini-SIM',"b'TFT, 65K colors'","b'1.5 inches, 27 x 27 mm, 7.3 cm2 (~20.4% screen-to-body ratio)'","b'128 x 128 pixels, 1:1 ratio (~121 ppi density)'",,b'No',,,,,,b'No',b'No',b'Second external OLED display 96 x 39 pixels Wallpapers Downloadable pictures',b'No',b'No',b'No',b'No',b'',b'',b'No',"b'3 - Light White, Sky Silver, Horizon Purple'",,,,,,,,,,b'Removable Li-Ion battery',,,,b'Up to 100 h',b'Up to 3 h',b'Class 6',b'No',,,b'500 entries',"b'10 dialed, 10 received, 10 missed calls'","b'SMS, EMS'","b'2 - Champion Soccer, Dragon Fight'","b'Yes, MIDP 1.0'",,,,,,,,,b'WAP 2.0/xHTML',"b'Vibration; Downloadable polyphonic ringtones, composer'",,,,,,
b'benq',b'BenQ M775C',b'https://cdn2.gsmarena.com/vv/bigpic/bqm775c.gif',b'GSM',b'GSM 900 / 1800',,,,"b'2003, Q1'",b'Discontinued',b'99 x 42 x 15 mm (3.90 x 1.65 x 0.59 in)',b'85 g (3.00 oz)',b'Mini-SIM',"b'CSTN, 4096 colors'",b'',"b'98 x 64 pixels, 3:2 ratio'",,b'No',,,,,,b'No',b'No',b'Downloadable pictures',b'No',b'No',b'No',b'No',b'',b'',b'No',b'',,,,,,,,,,b'Removable Li-Ion battery',,,,b'Up to 150 h',b'Up to 3 h',b'Class 10',b'No',,,b'Yes',"b'10 dialed, 10 received, 10 missed calls'","b'SMS, EMS'",b'Yes',b'No',,,,,,,,,b'WAP 1.2.1',"b'Vibration; Downloadable polyphonic ringtones, composer'",,,,,,
