Brand,Model Name,Model Image,Technology,2G bands,3G bands,4G bands,Speed,Announced,Status,Dimensions,Weight,SIM,Type,Size,Resolution,OS,Card slot,Internal,Single,Video,Single_1,Video_1,Loudspeaker,3.5mm jack,,WLAN,Bluetooth,GPS,Radio,USB,Sensors,_1,Colors,Protection,Chipset,CPU,GPU,Dual,Features,Features_1,NFC,Models,_1_1,Price,Infrared port,Charging,Stand-by,Talk time,GPRS,EDGE,Build,Music play,Phonebook,Call records,Messaging,Games,Java,SAR EU,Display,Camera,Loudspeaker_1,Audio quality,Battery life,SAR,Keyboard,Browser,Alert types,Clock,Alarm,Languages,Dual_1,Performance,Triple,5G
b'energizer',b'Energizer Energy E12',b'https://cdn2.gsmarena.com/vv/bigpic/energizer-energy-e12.jpg',b'GSM',b'GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2',,,,"b'2019, April'","b'Available. Released 2019, June'",b'117 x 51 x 15 mm (4.61 x 2.01 x 0.59 in)',b'91 g (3.21 oz)',b'Dual SIM (Mini-SIM)',"b'TFT, 256K colors'","b'1.8 inches, 10.2 cm2 (~17.1% screen-to-body ratio)'",b'128 x 160 pixels (~114 ppi density)',,"b'microSD, up to 16 GB'","b'4 MB, 4 MB RAM'",b'VGA',b'Yes',b'VGA',b'',b'Yes',b'Yes',b'- Flashlight',b'No',b'2.1',b'No',b'FM radio',b'microUSB 2.0',b'',b'Li-Ion 1000 mAh battery',b'Black',,b'Spreadtrum SC6531E',,,,,,,,,b'About 10 EUR',,,,,b'Yes',b'Yes',,,b'Yes',b'Yes',"b'SMS, MMS'",b'',b'No',,,,,,,,,,,,,,,,,
b'energizer',b'Energizer Hardcase H10',b'https://cdn2.gsmarena.com/vv/bigpic/energizer-hardcase-h10.jpg',b'GSM',b'GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2',,,,"b'2019, April'","b'Available. Released 2019, April'",b'109 x 49 x 15 mm (4.29 x 1.93 x 0.59 in)',b'80 g (2.82 oz)',b'Dual SIM (Mini-SIM)',"b'TFT, 256K colors'","b'1.8 inches, 10.2 cm2 (~19.1% screen-to-body ratio)'",b'128 x 160 pixels (~114 ppi density)',,"b'microSD, up to 32 GB'","b'64 MB, 32 MB RAM'",b'VGA',b'Yes',b'VGA',b'',b'Yes',b'Yes',b'IP54 splash/shock proof - Flashlight',b'No',b'3.0',b'No',b'FM radio',b'microUSB',b'',b'Li-Ion 1000 mAh battery',b'Black',,b'Mediatek MT6261A',,,,,,,,,b'About 30 EUR',,,,,b'Yes',b'Yes',,,b'Yes',b'Yes',b'SMS',b'',b'No',,,,,,,,,,,,,,,,,
b'energizer',b'Energizer Power Max P8100S',b'https://cdn2.gsmarena.com/vv/bigpic/energizer-power-max-p8100s-.jpg',b'GSM / HSPA / LTE / 5G',b'GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2',b'HSDPA 850 / 900 / 2100',b'LTE (unspecified)',"b'HSPA 42.2/5.76 Mbps, LTE-A (2CA) Cat13 600/50 Mbps; 5G (2+ Gbps DL)'","b'2019, February'","b'Coming soon. Exp. release 2019, November'",b'-',b'-',"b'Dual SIM (Nano-SIM, dual stand-by)'","b'IPS LCD capacitive touchscreen, 16M colors'","b'8.1 inches, 203.2 cm2'","b'1536 x 2048 pixels, 4:3 ratio (~316 ppi density)'",b'Android 9.0 (Pie)',"b'microSD, up to 256 GB'","b'256 GB, 8 GB RAM'",b'24 MP',b'2160p@30fps',,b'1080p@30fps',b'Yes',b'No',"b'Cover display: 6 inches, 1080 x 2160 pixels'","b'Wi-Fi 802.11 a/b/g/n, Wi-Fi Direct, hotspot'","b'5.0, A2DP, LE'","b'Yes, with A-GPS'",b'FM radio',b'Type-C 1.0 reversible connector',"b'Accelerometer, gyro, proximity, compass'","b'Non-removable Li-Po 10,000 mAh battery'",b'Dark red',,b'Qualcomm SDM855 Snapdragon 855 (7 nm)',b'Octa-core (1x2.84 GHz Kryo 485 & 3x2.42 GHz Kryo 485 & 4x1.8 GHz Kryo 485)',b'Adreno 640',"b'48 MP, f/1.8, (wide), 1/2"", 0.8\xc2\xb5m, PDAF 12 MP'","b'Dual-LED flash, HDR, panorama'",,,,,b'About 900 EUR',,b'Fast battery charging 18W',,,,,,,,,,,,,,,,,,,,,,,,,,,,b'5G NSA / Sub6 / mmWave'
b'energizer',b'Energizer Power Max P18K Pop',b'https://cdn2.gsmarena.com/vv/bigpic/energizer-power-max-p18k-pop-100.jpg',b'GSM / HSPA / LTE',b'GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2',b'HSDPA 850 / 900 / 1900 / 2100',"b'LTE band 1(2100), 3(1800), 5(850), 7(2600), 8(900), 20(800)'","b'HSPA, LTE-A'","b'2019, February'",b'Cancelled',b'\xe2\x81\x93 30-40 mm thickness',b'-',"b'Hybrid Dual SIM (Nano-SIM, dual stand-by)'","b'IPS LCD capacitive touchscreen, 16M colors'","b'6.2 inches, 95.9 cm2 (~83.8% screen-to-body ratio)'","b'1080 x 2280 pixels, 19:9 ratio (~407 ppi density)'",b'Android 9.0 (Pie)',"b'microSD, up to 128 GB (uses SIM 2 slot)'","b'128 GB, 6 GB RAM'",,b'1080p@30fps',,b'1080p@30fps',b'Yes',b'No',b'Active noise cancellation with dedicated mic',"b'Wi-Fi 802.11 a/b/g/n/ac, dual-band, hotspot'","b'5.0, A2DP, LE'","b'Yes, with A-GPS, GLONASS'",b'FM radio',"b'2.0, Type-C 1.0 reversible connector, USB On-The-Go'","b'Fingerprint (side-mounted), accelerometer, gyro, proximity, compass'","b'Non-removable Li-Po 18,000 mAh battery'","b'Black, Blue'",,b'Mediatek Helio P70 (12nm)',b'Octa-core (4x2.0 GHz Cortex-A73 & 4x2.0 GHz Cortex-A53)',b'Mali-G72 MP3',"b'16 MP 2 MP, depth sensor'","b'Dual-LED dual-tone flash, panorama, HDR'",,,,,,,b'Fast battery charging 18W USB Power Delivery 2.0 Power Bank/Reverse charging',,,,,,,,,,,,,,,,,,,,,,,,,,,"b'12 MP, PDAF 5 MP 2 MP, depth sensor'",
b'energizer',b'Energizer Ultimate U620S Pop',b'https://cdn2.gsmarena.com/vv/bigpic/energizer-ultimate-u620s-pop.jpg',b'GSM / HSPA / LTE',b'GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2',b'HSDPA 850 / 900 / 2100',"b'LTE band 1(2100), 3(1800), 5(850), 7(2600), 8(900), 20(800), 28(700), 38(2600), 39(1900), 40(2300), 41(2500)'","b'HSPA, LTE-A'","b'2019, January'","b'Coming soon. Exp. release 2019, July'",b'153.2 x 74.9 x 10.3 mm (6.03 x 2.95 x 0.41 in)',b'-',"b'Hybrid Dual SIM (Nano-SIM, dual stand-by)'","b'IPS LCD capacitive touchscreen, 16M colors'","b'6.2 inches, 95.9 cm2 (~83.6% screen-to-body ratio)'","b'1080 x 2280 pixels, 19:9 ratio (~407 ppi density)'",b'Android 9.0 (Pie)',"b'microSD, up to 128 GB (uses SIM 2 slot)'","b'128 GB, 6 GB RAM'",,b'1080p@30fps',,b'1080p',b'Yes',b'No',b'Active noise cancellation with dedicated mic',"b'Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct, hotspot'","b'5.0, A2DP, LE'","b'Yes, with A-GPS, GLONASS'",b'FM radio',"b'2.0, Type-C 1.0 reversible connector, USB On-The-Go'","b'Fingerprint (side-mounted), accelerometer, gyro, proximity, compass'",b'Non-removable Li-Ion 3200 mAh battery',"b'Black, Red, Green'",,b'Mediatek Helio P70',b'Octa-core (4x2.1 GHz Cortex-A73 & 4x2.0 GHz Cortex-A53)',b'Mali-G72 MP3',"b'Motorized pop-up 16 MP Motorized pop-up 2 MP, depth sensor'","b'Dual-LED dual-tone flash, panorama, HDR'",,,,,,,b'Fast battery charging 18W',,,,,,,,,,,,,,,,,,,,,,,,,,,"b'12 MP, PDAF 5 MP 2 MP, depth sensor'",
b'energizer',b'Energizer Ultimate U650S',b'https://cdn2.gsmarena.com/vv/bigpic/energizer-ultimate-u650s.jpg',b'GSM / HSPA / LTE',b'GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2',b'HSDPA 850 / 900 / 2100',"b'LTE band 1(2100), 3(1800), 5(850), 7(2600), 8(900), 20(800), 40(2300)'","b'HSPA, LTE-A'","b'2019, January'","b'Coming soon. Exp. release 2019, October'",b'162.5 x 76.5 x 8.2 mm (6.40 x 3.01 x 0.32 in)',b'-',"b'Hybrid Dual SIM (Nano-SIM, dual stand-by)'","b'IPS LCD capacitive touchscreen, 16M colors'","b'6.5 inches, 107.2 cm2 (~86.3% screen-to-body ratio)'","b'720 x 1480 pixels, 18.5:9 ratio (~253 ppi density)'",b'Android 9.0 (Pie)',"b'microSD, up to 256 GB (uses SIM 2 slot)'","b'128 GB, 4 GB RAM'",b'16 MP',b'1080p@30fps',,b'1080p',b'Yes',b'No',b'Active noise cancellation with dedicated mic',"b'Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct, hotspot'","b'5.0, A2DP, LE'","b'Yes, with A-GPS, GLONASS'",b'FM radio',"b'2.0, Type-C 1.0 reversible connector, USB On-The-Go'","b'Fingerprint (rear-mounted), accelerometer, gyro, proximity, compass'",b'Non-removable Li-Ion 3500 mAh battery',b'Yes',,b'Mediatek MT6762 Helio P22 (12 nm)',b'Octa-core 2.0 GHz Cortex-A53',b'PowerVR GE8320',"b'16 MP, PDAF 2 MP, depth sensor'","b'Dual-LED dual-tone flash, panorama, HDR'",,,,,,,b'Fast battery charging 10W',,,,,,,,,,,,,,,,,,,,,,,,,,,,
b'energizer',b'Energizer Ultimate U630S Pop',b'https://cdn2.gsmarena.com/vv/bigpic/energizer-ultimate-u630s-pop.jpg',b'GSM / HSPA / LTE',b'GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2',b'HSDPA 850 / 900 / 1900 / 2100',"b'LTE band 1(2100), 3(1800), 5(850), 7(2600), 8(900), 20(800), 40(2300), 41(2500)'","b'HSPA, LTE-A'","b'2019, January'","b'Available. Released 2019, June'",b'157.9 x 78.9 x 9.6 mm (6.22 x 3.11 x 0.38 in)',b'-',"b'Hybrid Dual SIM (Nano-SIM, dual stand-by)'","b'IPS LCD capacitive touchscreen, 16M colors'","b'6.3 inches, 100.7 cm2 (~80.9% screen-to-body ratio)'","b'720 x 1480 pixels, 18.5:9 ratio (~261 ppi density)'",b'Android 9.0 (Pie)',"b'microSD, up to 128 GB (uses SIM 2 slot)'","b'64 GB, 4 GB RAM'",,b'1080p@30fps',,b'1080p',b'Yes',b'No',b'Active noise cancellation with dedicated mic',"b'Wi-Fi 802.11 b/g/n, Wi-Fi Direct, hotspot'","b'5.0, A2DP, LE'","b'Yes, with A-GPS, GLONASS'",b'FM radio',"b'2.0, Type-C 1.0 reversible connector, USB On-The-Go'","b'Fingerprint (rear-mounted), accelerometer, gyro, proximity, compass'",b'Non-removable Li-Ion 3500 mAh battery',b'Black',,b'Mediatek MT6762 Helio P22 (12 nm)',b'Octa-core 2.0 GHz Cortex-A53',b'PowerVR GE8320',"b'16 MP, PDAF 2 MP, depth sensor'","b'LED flash, panorama, HDR'",,,,,,,b'Fast battery charging 10W',,,,,,,,,,,,,,,,,,,,,,,,,"b'Motorized pop-up 16 MP Motorized pop-up 2 MP, depth sensor'",,,
b'energizer',b'Energizer Ultimate U620S',b'https://cdn2.gsmarena.com/vv/bigpic/energizer-ultimate-u620s.jpg',b'GSM / HSPA / LTE',b'GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2',b'HSDPA 850 / 900 / 1900 / 2100',"b'LTE band 1(2100), 3(1800), 5(850), 7(2600), 8(900), 20(800), 38(2600), 40(2300), 41(2500)'","b'HSPA, LTE-A'","b'2019, January'","b'Available. Released 2019, June'",b'155.8 x 75.5 x 8.3 mm (6.13 x 2.97 x 0.33 in)',b'-',"b'Hybrid Dual SIM (Nano-SIM, dual stand-by)'","b'IPS LCD capacitive touchscreen, 16M colors'","b'6.2 inches, 97.6 cm2 (~82.9% screen-to-body ratio)'","b'720 x 1520 pixels, 18.5:9 ratio (~265 ppi density)'",b'Android 9.0 (Pie)',"b'microSD, up to 128 GB (uses SIM 2 slot)'","b'64 GB, 4 GB RAM'",b'16 MP',b'1080p@30fps',,b'1080p',b'Yes',b'Yes',b'Active noise cancellation with dedicated mic',"b'Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct, hotspot'","b'5.0, A2DP, LE'","b'Yes, with A-GPS, GLONASS'",b'FM radio',"b'2.0, Type-C 1.0 reversible connector, USB On-The-Go'","b'Fingerprint (side-mounted), accelerometer, gyro, proximity, compass'",b'Removable Li-Po 4000 mAh battery',"b'Aurora Red, Aurora Blue'",,b'Mediatek MT6765 Helio P35 (12nm)',b'Octa-core (4x2.3 GHz Cortex-A53 & 4x1.8 GHz Cortex-A53)',b'PowerVR GE8320',,"b'Dual-LED dual-tone flash, panorama, HDR'",,,,,,,b'Fast battery charging 10W',,,,,,,,,,,,,,,,,,,,,,,,,,,"b'16 MP, PDAF 2 MP VGA, depth sensor'",
b'energizer',b'Energizer Ultimate U570S',b'https://cdn2.gsmarena.com/vv/bigpic/energizer-ultimate-u570s.jpg',b'GSM / HSPA / LTE',b'GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2',b'HSDPA 850 / 900 / 1900 / 2100',"b'LTE band 1(2100), 3(1800), 5(850), 7(2600), 8(900), 20(800), 38(2600), 40(2300), 41(2500)'","b'HSPA, LTE-A'","b'2019, January'","b'Available. Released Exp. release 2019, Q3'",b'148.8 x 70.5 x 8.6 mm (5.86 x 2.78 x 0.34 in)',b'-',"b'Hybrid Dual SIM (Nano-SIM, dual stand-by)'","b'IPS LCD capacitive touchscreen, 16M colors'","b'5.7 inches, 81.1 cm2 (~77.3% screen-to-body ratio)'","b'720 x 1520 pixels, 19:9 ratio (~295 ppi density)'",b'Android 9.0 (Pie)',"b'microSD, up to 128 GB (uses SIM 2 slot)'","b'32 GB, 4 GB RAM'",b'16 MP',b'1080p@30fps',,b'1080p',b'Yes',b'Yes',b'Active noise cancellation with dedicated mic',"b'Wi-Fi 802.11 b/g/n, Wi-Fi Direct, hotspot'","b'5.0, A2DP, LE'","b'Yes, with A-GPS'",b'FM radio',"b'microUSB 2.0, USB On-The-Go'","b'Fingerprint (side-mounted), accelerometer, gyro, proximity, compass'",b'Removable Li-Ion 3000 mAh battery',"b'Aurora Red, Blue, Yellow'",,b'Mediatek MT6761 Helio A22 (12 nm)',b'Quad-core 2.0 GHz Cortex-A53',b'PowerVR GE8320',"b'16 MP, PDAF 2 MP, depth sensor'","b'Dual-LED dual-tone flash, panorama, HDR'",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b'energizer',b'Energizer Hardcase H591S',b'https://cdn2.gsmarena.com/vv/bigpic/energizer-hardcase-h591s.jpg',b'GSM / HSPA / LTE',b'GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2',b'HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100',"b'LTE band 1(2100), 2(1900), 3(1800), 4(1700/2100), 5(850), 7(2600), 8(900), 12(700), 17(700), 19(800), 20(800), 34(2000), 38(2600), 39(1900), 40(2300), 41(2500)'","b'HSPA, LTE-A'","b'2019, February'","b'Available. Released 2019, Q3'",b'164.2 x 79.4 x 12.2 mm (6.46 x 3.13 x 0.48 in)',b'260 g (9.17 oz)',"b'Hybrid Dual SIM (Nano-SIM, dual stand-by)'","b'TFT capacitive touchscreen, 16M colors'","b'5.99 inches, 98.9 cm2 (~75.9% screen-to-body ratio)'","b'1080 x 1920 pixels, 16:9 ratio (~368 ppi density)'",b'Android 8.1 (Oreo)',"b'microSD, up to 32 GB (uses SIM 2 slot)'","b'64 GB, 6 GB RAM'",,b'1080p@30fps',,b'',b'Yes',b'Yes',b'IP68 dust/water proof (up to 1.5m for 30 mins)',"b'Wi-Fi 802.11 a/b/g/n, Wi-Fi Direct, hotspot'","b'4.2, A2DP, LE'","b'Yes, with A-GPS'",b'No',"b'2.0, Type-C 1.0 reversible connector, USB On-The-Go'","b'Fingerprint (rear-mounted), accelerometer, gyro, proximity, compass'",b'Non-removable Li-Ion 5800 mAh battery',b'Black',b'Corning Gorilla Glass 3',b'Mediatek MT6763 Helio P23 (16 nm)',b'Octa-core 2.0 GHz Cortex-A53',b'Mali-G71 MP2',"b'16 MP, AF VGA, depth sensor'",b'Dual-LED flash',b'LED flash',b'Yes',,,,,b'Fast battery charging 10W',,,,,,,,,,,,,,,,,,,,,,,,,"b'8 MP VGA, depth sensor'",,,
b'energizer',b'Energizer Hardcase H570S',b'https://cdn2.gsmarena.com/vv/bigpic/energizer-hardcase-h570s-not-scan.jpg',b'GSM / HSPA / LTE',b'GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2',b'HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100',"b'LTE band 1(2100), 2(1900), 3(1800), 4(1700/2100), 5(850), 7(2600), 8(900), 12(700), 17(700), 20(800), 28(700), 38(2600), 40(2300), 41(2500)'","b'HSPA 42.2/11.5 Mbps, LTE Cat4 150/50 Mbps'","b'2019, February'","b'Available. Released Exp. release 2019, Q3'",b'',b'-',"b'Hybrid Dual SIM (Nano-SIM, dual stand-by)'","b'LTPS IPS LCD capacitive touchscreen, 16M colors'","b'5.7 inches, 83.8 cm2'","b'720 x 1440 pixels, 18:9 ratio (~282 ppi density)'",b'Android 9.0 (Pie)',"b'microSD, up to 32 GB (uses SIM 2 slot)'","b'16 GB, 2 GB RAM'",b'8 MP',b'1080p@30fps',,b'',b'Yes',b'Yes',b'IP68 dust/water proof (up to 1.5m for 30 mins)',"b'Wi-Fi 802.11 b/g/n, Wi-Fi Direct, hotspot'","b'4.2, A2DP, LE'","b'Yes, with A-GPS, GLONASS'",b'No',"b'2.0, Type-C 1.0 reversible connector'","b'Fingerprint (rear-mounted), accelerometer, proximity'",b'Non-removable Li-Ion 6500 mAh battery',b'Black',b'Corning Gorilla Glass 3',b'Mediatek MT6739 (28 nm)',b'Quad-core 1.5 GHz Cortex-A53',b'PowerVR GE8100',"b'13 MP, AF VGA, depth sensor'",b'LED flash',,,,,,,b'Fast battery charging 10W',,,,,,,,,,,,,,,,,,,,,,,,,,,,
b'energizer',b'Energizer Hardcase H501S',b'https://cdn2.gsmarena.com/vv/bigpic/energizer-hardcase-h501s.jpg',b'GSM / HSPA / LTE',b'GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2',b'HSDPA 900 / 2100',"b'LTE band 1(2100), 3(1800), 7(2600), 20(800)'","b'HSPA 7.2/5.76 Mbps, LTE Cat4 150/50 Mbps'","b'2019, February'","b'Available. Released 2019, Q3'",b'149.4 x 69.9 x 12 mm (5.88 x 2.75 x 0.47 in)',b'-',"b'Hybrid Dual SIM (Nano-SIM, dual stand-by)'","b'IPS LCD capacitive touchscreen, 16M colors'","b'5.0 inches, 64.5 cm2 (~61.8% screen-to-body ratio)'","b'480 x 960 pixels, 18:9 ratio (~215 ppi density)'",b'Android 9.0 (Pie)',"b'microSD, up to 64 GB (uses SIM 2 slot)'","b'16 GB, 2 GB RAM'",b'5 MP',b'480p@30fps',,b'',b'Yes',b'Yes',b'IP68 dust/water proof (up to 1.5m for 30 mins)',"b'Wi-Fi 802.11 a/b/g/n, hotspot'","b'4.0, A2DP, LE'","b'Yes, with A-GPS, GLONASS'",b'No',b'microUSB 2.0',"b'Fingerprint (rear-mounted), accelerometer, gyro, proximity'",b'Non-removable Li-Ion 2500 mAh battery',b'Black',b'Panda Glass',b'Mediatek MT6739 (28 nm)',b'Quad-core 1.5 GHz Cortex-A53',b'PowerVR GE8100',"b'16 MP, AF 2 MP, depth sensor'",b'LED flash',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b'energizer',b'Energizer Hardcase H280S',b'https://cdn2.gsmarena.com/vv/bigpic/energizer-hardcase-h280s.jpg',b'GSM / HSPA / LTE',b'GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2',b'HSDPA 900 / 2100',"b'LTE band 1(2100), 3(1800), 7(2600), 20(800)'","b'HSPA, LTE'","b'2019, February'","b'Available. Released Exp. release 2019, Q3'",b'142 x 64 x 16.5 mm (5.59 x 2.52 x 0.65 in)',b'256 g (9.03 oz)',b'Dual SIM',"b'TFT, 256K colors'","b'2.8 inches, 24.3 cm2 (~26.7% screen-to-body ratio)'","b'240 x 320 pixels, 4:3 ratio (~143 ppi density)'",b'KaiOS',"b'microSD, up to 64 GB'",,b'5 MP',b'Yes',,b'',b'Yes',b'Yes',b'IP68 dust/water proof (up to 1.2m for 30 mins)',"b'Wi-Fi 802.11 b/g/n, hotspot'",b'Yes',"b'Yes, with A-GPS, GLONASS'",b'FM radio',b'microUSB 2.0',b'',b'2 MP',b'Black',,b'Spreadtrum SC9820E',b'Dual-core (2x1.2 GHz)',,,b'LED flash',,,,b'Li-Ion 2000 mAh battery',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b'energizer',b'Energizer Hardcase H241',b'https://cdn2.gsmarena.com/vv/bigpic/energizer-hardcase-h241s.jpg',b'GSM / HSPA',b'GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2',b'HSDPA 900 / 2100',,b'HSPA',"b'2019, February'","b'Available. Released Exp. release 2019, Q3'",b'128.5 x 56.5 x 16.5 mm (5.06 x 2.22 x 0.65 in)',b'-',b'Dual SIM (Mini-SIM)',"b'TFT, 256K colors'","b'2.4 inches, 17.8 cm2 (~24.6% screen-to-body ratio)'","b'240 x 320 pixels, 4:3 ratio (~167 ppi density)'",b'KaiOS',"b'microSD, up to 64 GB'","b'128 MB, 64 MB RAM'",b'2 MP',b'Yes',b'0.3 MP',b'',b'Yes',b'Yes',b'IP68 dust/water proof (up to 1.2m for 30 mins)',"b'Wi-Fi 802.11 b/g/n, hotspot'",b'Yes',b'No',b'FM radio',b'microUSB 2.0',b'',"b'Downloadable applications Facebook, Gmail, Whatsapp, etc.'",b'Black',,b'Mediatek MT6276\xd0\x90',,,,b'LED flash',,,,b'Li-Ion 2500 mAh battery',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
