Brand,Model Name,Model Image,Technology,2G bands,3G bands,Speed,Announced,Status,Dimensions,Weight,SIM,Type,Size,Resolution,OS,CPU,Card slot,Internal,Single,Features,Video,Single_1,Video_1,Loudspeaker,3.5mm jack,WLAN,Bluetooth,GPS,Radio,USB,Sensors,,Stand-by,Talk time,Colors,4G bands,Chipset,GPU,_1,Price,_1_1,NFC,Music play,Protection,GPRS,EDGE,Phonebook,Call records,Messaging,Games,Java,Keyboard,Browser,Infrared port,SAR EU,SAR,Alert types,Languages,Clock,Alarm,Charging,Features_1
b'posh',b'Posh Memo Pro LTE L600',b'https://cdn2.gsmarena.com/vv/bigpic/posh-l600.jpg',b'GSM / HSPA / LTE',b'GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2',b'HSDPA 850 / 1700 / 2100 - L600A',"b'HSPA 42.2/5.76 Mbps, LTE Cat4 150/50 Mbps'","b'2016, August'","b'Available. Released 2016, December'",b'161.5 x 85.6 x 7.9 mm (6.36 x 3.37 x 0.31 in)',b'187.6 g (6.63 oz)',b'Dual SIM',"b'IPS LCD capacitive touchscreen, 16M colors'","b'6.0 inches, 99.2 cm2 (~71.8% screen-to-body ratio)'","b'720 x 1280 pixels, 16:9 ratio (~245 ppi density)'",b'Android 5.1 (Lollipop)',b'Quad-core 1.0 GHz Cortex-A53',"b'microSD, up to 128 GB'","b'16 GB, 1 GB RAM'","b'8 MP, AF'",b'LED flash',b'1080p@30fps',b'5 MP',b'',b'Yes',b'Yes',"b'Wi-Fi 802.11 b/g/n, hotspot'","b'4.0, A2DP'","b'Yes, with A-GPS'",b'FM radio',b'microUSB 2.0',b'Accelerometer',b'HSDPA 900 / 1900 / 2100 - L600B',b'Up to 180 h (3G)',b'Up to 5 h 30 min (3G)',"b'Black, White'","b'LTE band 2(1900), 4(1700/2100), 5(850), 7(2600), 17(700) - L600A'",b'Mediatek MT6735 (28 nm)',b'Mali-T720',"b'LTE band 1(2100), 3(1800), 7(2600), 8(900), 20(800) - L600B'",,b'Li-Po 2700 mAh battery',,,,,,,,,,,,,,,,,,,,,
b'posh',b'Posh Equal Plus X700',b'https://cdn2.gsmarena.com/vv/bigpic/posh-x700.jpg',b'GSM / HSPA',b'GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2',b'HSDPA 850 / 1900 / 2100',b'HSPA',"b'2016, September'","b'Available. Released 2017, January'",b'192.1 x 107.9 x 9.9 mm (7.56 x 4.25 x 0.39 in)',b'275 g (9.70 oz)',b'Dual SIM',"b'IPS LCD capacitive touchscreen, 16M colors'","b'7.0 inches, 137.9 cm2 (~66.5% screen-to-body ratio)'","b'600 x 1024 pixels, 16:9 ratio (~170 ppi density)'",b'Android 6.0 (Marshmallow)',b'Quad-core 1.3 GHz Cortex-A7',"b'microSD, up to 128 GB'","b'16 GB, 1 GB RAM'",b'5 MP',b'LED flash',b'Yes',b'2 MP',b'',b'Yes',b'Yes',"b'Wi-Fi 802.11 b/g/n, hotspot'","b'4.1, A2DP, LE'","b'Yes, with A-GPS'",b'FM radio',b'microUSB 2.0',b'Accelerometer',b'Li-Po 2650 mAh battery',b'Up to 176 h (3G)',b'Up to 5 h (3G)',"b'Black, Silver, Rose Gold'",,b'Mediatek MT8321 (28 nm)',b'Mali-400',,,,,,,,,,,,,,,,,,,,,,,,
b'posh',b'Posh Ultra Max LTE L550',b'https://cdn2.gsmarena.com/vv/bigpic/posh-um-l550.jpg',b'GSM / HSPA / LTE',b'GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2',b'HSDPA 850 / 1900 / 2100',"b'HSPA 42.2/5.76 Mbps, LTE Cat4 150/50 Mbps'","b'2016, August'","b'Available. Released 2016, December'",b'152.1 x 76.8 x 7.3 mm (5.99 x 3.02 x 0.29 in)',b'177 g (6.24 oz)',b'Dual SIM',"b'IPS LCD capacitive touchscreen, 16M colors'","b'5.5 inches, 83.4 cm2 (~71.4% screen-to-body ratio)'","b'720 x 1280 pixels, 16:9 ratio (~267 ppi density)'",b'Android 6.0 (Marshmallow)',b'Quad-core 1.25 GHz Cortex-A53',"b'microSD, up to 128 GB'","b'16 GB, 1 GB RAM'","b'8 MP, AF'",b'LED flash',b'1080p@30fps',b'2 MP',b'',b'Yes',b'Yes',"b'Wi-Fi 802.11 b/g/n, hotspot'","b'4.1, A2DP, LE'","b'Yes, with A-GPS'",b'FM radio',b'microUSB 2.0',"b'Accelerometer, proximity'",b'Li-Po 2700 mAh battery',b'Up to 180 h (3G)',b'Up to 5 h 30 min (3G)',"b'Black, Gold, White'","b'LTE band 2(1900), 3(1800), 4(1700/2100), 7(2600), 17(700), 12(700), 20(800)'",b'Mediatek MT6737 (28 nm)',b'Mali-T720',,,,,,,,,,,,,,,,,,,,,,,,
b'posh',b'Posh Kick Pro LTE L520',b'https://cdn2.gsmarena.com/vv/bigpic/posh-Kick_Pro_LTE_L520.jpg',b'GSM / HSPA / LTE',b'GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2',b'HSDPA 850 / 1700(AWS) / 1900 / 2100',"b'HSPA 21.1/5.76 Mbps, LTE Cat4 150/50 Mbps'","b'2015, November'","b'Available. Released 2016, April'",b'142.5 x 71.5 x 8.6 mm (5.61 x 2.81 x 0.34 in)',b'130 g (4.59 oz)',"b'Dual SIM (Micro-SIM, dual stand-by)'","b'IPS LCD capacitive touchscreen, 16M colors'","b'5.0 inches, 68.9 cm2 (~67.6% screen-to-body ratio)'","b'720 x 1280 pixels, 16:9 ratio (~294 ppi density)'",b'Android 6.0 (Marshmallow)',b'Quad-core 1.0 GHz Cortex-A53',"b'microSD, up to 32 GB'","b'8 GB, 1 GB RAM'","b'8 MP, AF'","b'LED flash, HDR, panorama'",b'1080p@30fps',b'5 MP',b'',b'Yes',b'Yes',"b'Wi-Fi 802.11 b/g/n, Wi-Fi Direct, hotspot'","b'4.0, A2DP, EDR'","b'Yes, with A-GPS'",b'No',b'microUSB 2.0',"b'Accelerometer, proximity'",b'Removable Li-Ion 2000 mAh battery',,,"b'White, Gold, Gray'","b'LTE band 2(1900), 4(1700/2100), 7(2600), 17(700)'",b'Mediatek MT6735P (28 nm)',b'Mali-T720MP2',,,,,,,,,,,,,,,,,,,,,,,,
b'posh',b'Posh Optima LTE L530',b'https://cdn2.gsmarena.com/vv/bigpic/posh-Optima_LTE_L530.jpg',b'GSM / HSPA / LTE',b'GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2',b'HSDPA 850 / 1900 / 2100',"b'HSPA 21.1/5.76 Mbps, LTE Cat4 150/50 Mbps'","b'2016, February'","b'Available. Released 2016, April'",b'143.5 x 69.4 x 8 mm (5.65 x 2.73 x 0.31 in)',b'133 g (4.69 oz)',"b'Dual SIM (Micro-SIM, dual stand-by)'","b'IPS LCD capacitive touchscreen, 16M colors'","b'5.0 inches, 68.9 cm2 (~69.2% screen-to-body ratio)'","b'720 x 1280 pixels, 16:9 ratio (~294 ppi density)'",b'Android 5.1 (Lollipop)',b'Octa-core 1.3 GHz Cortex-A53',"b'microSD, up to 32 GB'","b'16 GB, 2 GB RAM'","b'13 MP, f/2.2, 1/3"", 1.12\xc2\xb5m, AF'","b'Dual-LED flash, panorama, HDR'",b'1080p@30fps',"b'13 MP, f/2.2, 1/3"", AF'",b'',b'Yes',b'Yes',"b'Wi-Fi 802.11 b/g/n, Wi-Fi Direct, hotspot'","b'4.0, A2DP, EDR'","b'Yes, with A-GPS'",b'No',"b'microUSB 2.0, USB On-The-Go'","b'Accelerometer, proximity, compass'",b'Non-removable Li-Po 3000 mAh battery',b'Up to 400 h (2G) / Up to 300 h (3G)',b'Up to 10 h (2G) / Up to 8 h (3G)',"b'Black, Gold'","b'LTE band 2(1900), 4(1700/2100), 7(2600), 17(700)'",b'Mediatek MT6753 (28 nm)',b'Mali-400',,,,,,,,,,,,,,,,,,,,,,,,
b'posh',b'Posh Icon HD X551',b'https://cdn2.gsmarena.com/vv/bigpic/posh-Icon_HD_X551.jpg',b'GSM / HSPA',b'GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2',b'HSDPA 850 / 1900 / 2100',b'HSPA 21.1/5.76 Mbps',"b'2015, November'","b'Available. Released 2016, January'",b'153.2 x 79 x 8.2 mm (6.03 x 3.11 x 0.32 in)',b'115 g (4.06 oz)',"b'Dual SIM (Micro-SIM/ Mini-SIM, dual stand-by)'","b'IPS LCD capacitive touchscreen, 16M colors'","b'5.5 inches, 83.4 cm2 (~68.9% screen-to-body ratio)'","b'720 x 1280 pixels, 16:9 ratio (~267 ppi density)'",b'Android 5.1 (Lollipop)',b'Quad-core 1.3 GHz Cortex-A7',"b'microSD, up to 32 GB'","b'16 GB, 1 GB RAM'","b'8 MP, AF'","b'LED flash, HDR, panorama'",b'1080p@30fps',b'2 MP',b'',b'Yes',b'Yes',"b'Wi-Fi 802.11 b/g/n, Wi-Fi Direct, DLNA, hotspot'","b'4.0, A2DP, EDR'","b'Yes, with A-GPS'",b'FM radio',b'microUSB 2.0',"b'Accelerometer, proximity, compass'",b'Removable Li-Po 2100 mAh battery',b'Up to 700 h (2G) / Up to 250 h (3G)',b'Up to 22 h (2G) / Up to 12 h (3G)',"b'Dark Grey, White, Gold, Rose Gold, Silver'",,b'Mediatek MT6580A (28 nm)',b'Mali-400MP2',,,,,,,,,,,,,,,,,,,,,,,,
b'posh',b'Posh Volt LTE L540',b'https://cdn2.gsmarena.com/vv/bigpic/posh-Volt_LTE_L540.jpg',b'GSM / HSPA / LTE',b'GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2',b'HSDPA 850 / 1900 / 2100',"b'HSPA 21.1/5.76 Mbps, LTE Cat4 150/50 Mbps'","b'2016, March'","b'Available. Released 2016, May'",b'143.8 x 72 x 10 mm (5.66 x 2.83 x 0.39 in)',b'167.5 g (5.93 oz)',"b'Dual SIM (Micro-SIM, dual stand-by)'","b'IPS LCD capacitive touchscreen, 16M colors'","b'5.0 inches, 68.9 cm2 (~66.6% screen-to-body ratio)'","b'720 x 1280 pixels, 16:9 ratio (~294 ppi density)'",b'Android 5.1 (Lollipop)',b'Quad-core 1.0 GHz Cortex-A53',"b'microSD, up to 128 GB'","b'16 GB, 3 GB RAM'","b'8 MP, f/2.4, 1/4"", 1.12\xc2\xb5m, AF'","b'LED flash, panorama, HDR'",b'1080p@30fps',"b'5 MP, f/2.2, 1/5"", 1.12\xc2\xb5m'",b'',b'Yes',b'Yes',"b'Wi-Fi 802.11 b/g/n, Wi-Fi Direct, hotspot'","b'4.0, A2DP, LE'","b'Yes, with A-GPS'",b'FM radio',b'microUSB 2.0',"b'Accelerometer, proximity'",b'Non-removable Li-Po 4000 mAh battery',b'Up to 600 h (2G) / Up to 300 h (3G)',b'Up to 16 h (2G) / Up to 12 h (3G)',"b'Grey, Gold, Rose Gold'","b'LTE band 2(1900), 3(1800), 4(1700/2100), 7(2600), 17(700)'",b'Mediatek MT6735P (28 nm)',b'Mali-T720MP2',,,,,,,,,,,,,,,,,,,,,,,b'Fast battery charging 10W',
b'posh',b'Posh Volt Max LTE L640',b'https://cdn2.gsmarena.com/vv/bigpic/posh-Volt_Max_LTE_L640.jpg',b'GSM / HSPA / LTE',b'GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2',b'HSDPA 850 / 1900 / 2100',"b'HSPA, LTE Cat4 150/50 Mbps'","b'2016, March'","b'Available. Released 2016, June'",b'176 x 89.3 x 8.1 mm (6.93 x 3.52 x 0.32 in)',b'230 g (8.11 oz)',"b'Dual SIM (Micro-SIM, dual stand-by)'","b'IPS LCD capacitive touchscreen, 16M colors'","b'6.44 inches, 123.5 cm2 (~78.6% screen-to-body ratio)'","b'1280 x 1920 pixels, 3:2 ratio (~358 ppi density)'",b'Android 5.1 (Lollipop)',b'Octa-core 1.3 GHz Cortex-A53',b'No',"b'32/64 GB, 3 GB RAM'","b'13 MP, f/2.4, 1/3"", 1.12\xc2\xb5m, AF'","b'LED flash, panorama, HDR'",b'1080p@30fps',"b'8 MP, f/2.2, 1/4"", 1.12\xc2\xb5m'",b'',b'Yes',b'Yes',"b'Wi-Fi 802.11 b/g/n, Wi-Fi Direct, hotspot'","b'4.1, A2DP, LE'","b'Yes, with A-GPS'",b'No',"b'microUSB 2.0, USB On-The-Go'","b'Accelerometer, proximity, compass'",b'Non-removable Li-Po 6000 mAh battery',b'Up to 600 h (2G) / Up to 400 h (3G)',b'Up to 16 h (2G) / Up to 8 h (3G)',"b'Grey, Gold, Rose Gold'","b'LTE band 2(1900), 3(1800), 4(1700/2100), 7(2600), 17(700)'",b'Mediatek MT6753 (28 nm)',b'Mali-T760MP2',,,,,,,,,,,,,,,,,,,,,,,b'Fast battery charging 10W',
b'posh',b'Posh Equal Pro LTE L700',b'https://cdn2.gsmarena.com/vv/bigpic/posh-Equal_Pro_LTE_L700.jpg',b'GSM / HSPA / LTE',b'GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2',b'HSDPA 850 / 1900 / 2100',"b'HSPA 42.2/11.5 Mbps, LTE Cat4 150/50 Mbps'","b'2016, February'","b'Available. Released 2016, March'",b'192 x 101.6 x 8.4 mm (7.56 x 4.0 x 0.33 in)',b'248 g (5.22 oz)',"b'Dual SIM (Micro-SIM/ Mini-SIM, dual stand-by)'","b'IPS LCD capacitive touchscreen, 16M colors'","b'6.95 inches, 133.2 cm2 (~68.3% screen-to-body ratio)'","b'720 x 1280 pixels, 16:9 ratio (~211 ppi density)'",b'Android 5.1 (Lollipop)',b'Quad-core 1.0 GHz Cortex-A53',"b'microSD, up to 32 GB'","b'16 GB, 1 GB RAM'","b'5 MP, AF'","b'LED flash, HDR, panorama'",b'1080p@30fps',b'2 MP',b'',b'Yes',b'Yes',"b'Wi-Fi 802.11 a/b/g/n, hotspot'","b'4.0, A2DP, LE'","b'Yes, with A-GPS'",b'FM radio',"b'microUSB 2.0, USB On-The-Go'","b'Accelerometer, compass'",b'Non-removable Li-Po 2800 mAh battery',b'Up to 900 h (2G) / Up to 800 h (3G)',b'Up to 24 h (2G) / Up to 15 h (3G)',"b'Black, White, Blue'","b'LTE band 2(1900), 4(1700/2100), 7(2600), 17(700)'",b'Mediatek MT8735P',b'Mali-T720MP2',,,,,,,,,,,,,,,,,,,,,,,,
b'posh',b'Posh Primo Plus C353',b'https://cdn2.gsmarena.com/vv/bigpic/posh-plus-c353.jpg',b'GSM / HSPA',b'GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2',b'HSDPA 850 / 1900 - C353A',b'HSPA 21.1/5.76 Mbps',"b'2015, May'","b'Available. Released 2015, August'",b'116 x 63 x 10.4 mm (4.57 x 2.48 x 0.41 in)',b'96.1 g (3.39 oz)',"b'Dual SIM (Mini-SIM, dual stand-by)'",b'Touchscreen',"b'3.5 inches, 36.5 cm2 (~49.9% screen-to-body ratio)'","b'320 x 480 pixels, 3:2 ratio (~165 ppi density)'",b'Android 4.4.2 (KitKat)',b'1.0 GHz',"b'microSD, up to 32 GB'","b'512 MB, 256 MB RAM'",b'VGA',,b'Yes',b'VGA',b'',"b'Yes, with stereo speakers'",b'Yes',"b'Wi-Fi 802.11 b/g/n, hotspot'","b'2.1, EDR'",b'No',b'FM radio',b'microUSB 2.0',b'Accelerometer',b'HSDPA 850 / 2100 - C353B',b'Up to 260 h (2G) / Up to 220 h (3G)',b'Up to 5 h 30 min (2G) / Up to 5 h (3G)',"b'Black, White, Blue, Pink, Yellow'",,b'Spreadtrum SC7715',,b'Li-Po 1300 mAh battery',,,,,,,,,,,,,,,,,,,,,,,
b'posh',b'Posh Kick X511',b'https://cdn2.gsmarena.com/vv/bigpic/posh-kick-x511.jpg',b'GSM / HSPA',b'GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2',b'HSDPA 850 / 1900 - X511A',b'HSPA 21.1/5.76 Mbps',"b'2015, May'","b'Available. Released 2015, August'",b'144.5 x 72 x 8.1 mm (5.69 x 2.83 x 0.32 in)',b'160 g (5.64 oz)',"b'Dual SIM (Mini-SIM/ Micro-SIM, dual stand-by)'","b'IPS LCD capacitive touchscreen, 16M colors'","b'5.0 inches, 68.9 cm2 (~66.2% screen-to-body ratio)'","b'540 x 960 pixels, 16:9 ratio (~220 ppi density)'",b'Android 4.4.2 (KitKat)',b'Quad-core 1.3 GHz Cortex-A7',"b'microSD, up to 32 GB'","b'8 GB, 1 GB RAM'","b'5 MP, AF'","b'LED flash, panorama, HDR'",b'1080p@30fps',b'VGA',b'',"b'Yes, with stereo speakers'",b'Yes',"b'Wi-Fi 802.11 b/g/n, Wi-Fi Direct, DLNA, hotspot'","b'4.0, A2DP, EDR'","b'Yes, with A-GPS'",b'FM radio',b'microUSB 2.0',"b'Accelerometer, proximity'",b'HSDPA 850 / 2100 - X511B',b'Up to 400 h (2G) / Up to 240 h (3G)',b'Up to 5 h (2G) / Up to 4 h (3G)',"b'Black, White, Gold, Blue'",,b'Mediatek MT6582M (28 nm)',b'Mali-400MP2',b'Li-Po 1600 mAh battery',,,,,,,,,,,,,,,,,,,,,,,
b'posh',b'Posh Kick Lite S410',b'https://cdn2.gsmarena.com/vv/bigpic/posh-kick-lite-s410.jpg',b'GSM / HSPA',b'GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2',b'HSDPA 850 / 1700(AWS) / 1900 - S410A',b'HSPA 21.1/5.76 Mbps',"b'2015, May'","b'Available. Released 2015, August'",b'123.3 x 63.5 x 12.2 mm (4.85 x 2.5 x 0.48 in)',b'119 g (4.20 oz)',"b'Dual SIM (Mini-SIM/ Micro-SIM, dual stand-by)'","b'IPS LCD capacitive touchscreen, 16M colors'","b'4.0 inches, 45.5 cm2 (~58.2% screen-to-body ratio)'","b'480 x 800 pixels, 5:3 ratio (~233 ppi density)'",b'Android 4.4.2 (KitKat)',b'Dual-core 1.0 GHz Cortex-A7',"b'microSD, up to 32 GB'","b'4 GB, 512 MB RAM'",b'2 MP',"b'LED flash, panorama, HDR'",b'720p@30fps',b'VGA',b'',"b'Yes, with stereo speakers'",b'Yes',"b'Wi-Fi 802.11 b/g/n, Wi-Fi Direct, DLNA, hotspot'","b'4.0, A2DP, EDR'","b'Yes, with A-GPS'",b'FM radio',b'microUSB 2.0',b'Accelerometer',b'HSDPA 850 / 1900 / 2100 - X410B',b'Up to 400 h (2G) / Up to 240 h (3G)',b'Up to 5 h (2G) / Up to 3 h (3G)',"b'Black, White, Pink, Blue'",,b'Mediatek MT6572M (28 nm)',b'Mali-400',b'Li-Po 1450 mAh battery',,,,,,,,,,,,,,,,,,,,,,,
b'posh',b'Posh Icon S510',b'https://cdn2.gsmarena.com/vv/bigpic/posh-icon-s510.jpg',b'GSM / HSPA',b'GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2',b'HSDPA 850 / 1700(AWS) / 1900 - S510A',b'HSPA 21.1/5.76 Mbps',"b'2015, May'","b'Available. Released 2015, October'",b'142 x 70.5 x 8.5 mm (5.59 x 2.78 x 0.33 in)',b'115.2 g (4.06 oz)',"b'Dual SIM (Mini-SIM, dual stand-by)'","b'IPS LCD capacitive touchscreen, 16M colors'","b'5.0 inches, 68.9 cm2 (~68.8% screen-to-body ratio)'","b'480 x 854 pixels, 16:9 ratio (~196 ppi density)'",b'Android 4.4.2 (KitKat)',b'Dual-core 1.0 GHz Cortex-A7',"b'microSD, up to 32 GB'","b'4 GB, 512 MB RAM'",b'5 MP',"b'LED flash, panorama, HDR'",b'1080p@30fps',b'VGA',b'',"b'Yes, with stereo speakers'",b'Yes',"b'Wi-Fi 802.11 b/g/n, Wi-Fi Direct, DLNA, hotspot'","b'4.0, A2DP, EDR'","b'Yes, with A-GPS'",b'FM radio',b'microUSB 2.0',b'Accelerometer',b'HSDPA 850 / 1900 / 2100 - X510B',b'Up to 260 h (2G) / Up to 220 h (3G)',b'Up to 5 h 30 min (2G) / Up to 5 h (3G)',"b'Gold, White, Black'",,b'Mediatek MT6572M (28 nm)',b'Mali-400',b'Li-Po 1800 mAh battery',,,,,,,,,,,,,,,,,,,,,,,
b'posh',b'Posh Titan Max HD E550',b'https://cdn2.gsmarena.com/vv/bigpic/posh-e550-.jpg',b'GSM / HSPA',b'GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2',b'HSDPA 850 / 1700(AWS) / 1900 / 2100 - E550A',b'HSPA 21.1/5.76 Mbps',"b'2015, July'","b'Available. Released 2015, July'",b'151 x 78 x 7.9 mm (5.94 x 3.07 x 0.31 in)',b'140 g (4.94 oz)',"b'Dual SIM (Mini-SIM/ Micro-SIM, dual stand-by)'","b'IPS LCD capacitive touchscreen, 16M colors'","b'5.5 inches, 83.4 cm2 (~70.8% screen-to-body ratio)'","b'720 x 1280 pixels, 16:9 ratio (~267 ppi density)'",b'Android 4.4.2 (KitKat)',b'Octa-core 1.4 GHz Cortex-A7',"b'microSD, up to 64 GB'","b'8 GB, 1 GB RAM'","b'13 MP, AF'","b'Dual-LED flash, panorama, HDR'",b'1080p@30fps',b'5 MP',b'',"b'Yes, with stereo speakers'",b'Yes',"b'Wi-Fi 802.11 b/g/n, Wi-Fi Direct, DLNA, hotspot'","b'4.0, A2DP, EDR'","b'Yes, with A-GPS'",b'FM radio',b'microUSB 2.0',"b'Accelerometer, proximity, compass'",b'Li-Po 2400 mAh battery',b'Up to 400 h (2G) / Up to 240 h (3G)',b'Up to 4 h (2G) / Up to 5 h (3G)',"b'Black, White, Gold'",,b'Mediatek MT6592M (28 nm)',b'Mali-450MP4',,,,,,,,,,,,,,,,,,,,,,,,b'LED flash'
