Brand,Model Name,Model Image,Technology,2G bands,3G bands,Speed,Announced,Status,Dimensions,Weight,SIM,Type,Size,Resolution,OS,CPU,Card slot,Internal,Single,Features,Video,Single_1,Video_1,Loudspeaker,3.5mm jack,WLAN,Bluetooth,GPS,Radio,USB,Sensors,,Stand-by,Talk time,Colors,4G bands,Chipset,GPU,_1,Price,_1_1,NFC,Music play,Protection,GPRS,EDGE,Phonebook,Call records,Messaging,Games,Java,Keyboard,Browser,Infrared port,SAR EU,SAR,Alert types,Languages,Clock,Alarm,Charging,Features_1,Models
b'qtek',b'Qtek 9600',b'https://cdn2.gsmarena.com/vv/bigpic/qtek-9600.gif',b'GSM / UMTS',b'GSM 850 / 900 / 1800 / 1900',b'UMTS 850 / 1900 / 2100',"b'Yes, 384 kbps'","b'2006, June'",b'Discontinued',b'113 x 58 x 22 mm (4.45 x 2.28 x 0.87 in)',b'176 g (6.21 oz)',b'Mini-SIM',"b'TFT resistive touchscreen, 65K colors'","b'2.8 inches, 42 x 57 mm, 24.3 cm2 (~37.0% screen-to-body ratio)'","b'240 x 320 pixels, 4:3 ratio (~143 ppi density)'",b'Microsoft Windows Mobile 5.0 PocketPC',b'400 MHz Samsung',b'microSD (dedicated slot)',"b'64 MB RAM, 128 MB ROM'",b'2 MP',b'LED flash',b'Yes',b'QCIF videocall camera',b'',b'Yes',b'No',b'Wi-Fi 802.11b/g',b'2.0',b'No',b'No',b'1.1',b'',b'Handwriting recognition',b'Up to 300 h',b'Up to 5 h',b'Silver',,,,b'Pocket Office  Voice memo MP3/AAC player',,b'Removable Li-Po 1350 mAh battery',,,,,,,,,,,b'QWERTY',"b'WAP 2.0/xHTML, HTML (PocketIE)'",b'Yes',,,"b'Vibration; Downloadable polyphonic, MP3 ringtones'",,,,,,
b'qtek',b'Qtek 8600',b'https://cdn2.gsmarena.com/vv/bigpic/qtek-8600.gif',b'GSM / UMTS',b'GSM 900 / 1800 / 1900',b'UMTS 2100',"b'Yes, 384 kbps'","b'2006, June'",b'Discontinued',b'112.4 x 46 x 14.8 mm (4.43 x 1.81 x 0.58 in)',b'120 g (4.23 oz)',b'Mini-SIM',"b'TFT, 65K colors'","b'2.2 inches, 34 x 45 mm, 15.0 cm2 (~29.0% screen-to-body ratio)'","b'240 x 320 pixels, 4:3 ratio (~182 ppi density)'",b'Microsoft Windows Mobile 5.0 Smartphone',b'Samsung 2442 300 MHz',b'microSD (dedicated slot)',"b'64 MB RAM, 128 MB ROM'",b'1.3 MP',,b'Yes',b'Yes',b'',b'Yes',b'No',b'No',b'Yes',b'No',b'No',b'Proprietary',b'',b'5-way navigation button',,,b'',,,,b'MP3/AAC player Predictive text input Organizer',,b'Removable Li-Po 1190 mAh battery',,,,,,,,,,,,"b'WAP 2.0/xHTML, HTML (PocketIE)'",b'Yes',,,"b'Vibration; Downloadable polyphonic, MP3 ringtones, composer'",,,,,,
b'qtek',b'Qtek A9100',b'https://cdn2.gsmarena.com/vv/bigpic/qtek-a9100.jpg',b'GSM',b'GSM 850 / 900 / 1800 / 1900',,,"b'2006, March'",b'Discontinued',b'108 x 58 x 23.7 mm (4.25 x 2.28 x 0.93 in)',b'168 g (5.93 oz)',b'Mini-SIM',"b'TFT resistive touchscreen, 65K colors'","b'2.8 inches, 24.3 cm2 (~38.8% screen-to-body ratio)'","b'240 x 320 pixels, 4:3 ratio (~143 ppi density)'",b'Microsoft Windows Mobile 5.0 PocketPC',b'200 MHz ARM926EJ-S',b'miniSD',"b'64 MB RAM, 128 MB ROM'",b'1.3 MP',b'LED flash',b'No',,,b'Yes',b'No',b'Wi-Fi 802.11 b/i',b'1.2',b'No',b'No',b'miniUSB',b'',b'5-way navigation button',,,b'Gray',,b'TI OMAP 850',,b'No',,b'Removable Li-Po 1250 mAh battery',,,,b'Class 10',b'Class 10',,,,,,b'QWERTY',"b'WAP 2.0/xHTML, HTML (PocketIE)'",b'Yes',,,,,,,,,
b'qtek',b'Qtek 8500',b'https://cdn2.gsmarena.com/vv/bigpic/qtek-8500.gif',b'GSM',b'GSM 850 / 900 / 1800 / 1900',,,"b'2006, February'",b'Discontinued',b'98.5 x 51.4 x 15.8 mm (3.88 x 2.02 x 0.62 in)',b'99 g (3.49 oz)',b'Mini-SIM',"b'TFT, 65K colors'","b'2.2 inches, 34 x 45 mm, 15.0 cm2 (~29.6% screen-to-body ratio)'","b'240 x 320 pixels, 4:3 ratio (~182 ppi density)'",b'Microsoft Windows Mobile 5.0 Smartphone',b'200 MHz ARM926EJ-S',b'microSD (dedicated slot)',"b'64 MB RAM, 64 MB ROM'",b'1.3 MP',,b'Yes',,,b'Yes',b'No',b'No',b'1.2',b'No',b'No',b'1.1',b'',"b'Second external 1.2-inch TFT display, 65K colors (128 x 128 pixels)'",,,b'Stylish black',,b'TI OMAP 850',,b'No',b'About 190 EUR',b'Removable Li-Ion 750 mAh battery',,,,b'Class 10',b'Class 10',,,,,,,"b'WAP 2.0/xHTML, HTML (PocketIE)'",,,,"b'Vibration; Downloadable polyphonic, MP3 ringtones'",,,,,,
b'qtek',b'Qtek S200',b'https://cdn2.gsmarena.com/vv/bigpic/qtek-s200.gif',b'GSM',b'GSM 850 / 900 / 1800 / 1900',,,"b'2005, Q4'",b'Discontinued',b'108.8 x 59.3 x 18.4 mm (4.28 x 2.33 x 0.72 in)',b'150 g (5.29 oz)',b'Mini-SIM',"b'TFT resistive touchscreen, 65K colors'","b'2.8 inches, 42 x 57 mm, 24.3 cm2 (~37.6% screen-to-body ratio)'","b'240 x 320 pixels, 4:3 ratio (~143 ppi density)'",b'Microsoft Windows Mobile 5.0 PocketPC',b'200 MHz ARM926EJ-S',b'SD/MMC',"b'64 MB RAM, 128 MB ROM'",b'2 MP',,b'CIF',,,b'Yes',b'No',b'Wi-Fi 802.11b',b'2.0',b'No',b'No',b'miniUSB',b'',b'Handwriting recognition',b'Up to 200 h',b'Up to 5 h',b'Stylish black',,b'TI OMAP 850',,b'No',b'About 250 EUR',b'Removable Li-Ion 1200 mAh battery',,,,b'Class 10',b'Class 10',,,,,,,"b'WAP 2.0/xHTML, HTML (PocketIE)'",b'Yes',,,b'Vibration; Downloadable polyphonic ringtones',,,,,,
b'qtek',b'Qtek 9000',b'https://cdn2.gsmarena.com/vv/bigpic/qtek-9000.gif',b'GSM / UMTS',b'GSM 900 / 1800 / 1900',b'UMTS 2100',"b'Yes, 384 kbps'","b'2005, August'",b'Discontinued',b'131 x 79 x 21 mm (5.16 x 3.11 x 0.83 in)',b'285 g (10.05 oz)',b'Mini-SIM',"b'TFT resistive touchscreen, 65K colors'","b'3.6 inches, 73 x 55 mm, 40.1 cm2 (~38.8% screen-to-body ratio)'","b'640 x 480 pixels, 4:3 ratio (~222 ppi density)'",b'Microsoft Windows Mobile 5.0 PocketPC',b'Intel XScale 520 MHz',b'SDIO/MMC',b'64 MB RAM',b'1.3 MP',,b'Yes',b'VGA videocall camera',b'',"b'Yes, with stereo speakers'",b'No',b'Wi-Fi 802.11b',b'Yes',b'No',b'No',b'Proprietary',b'',b'Handwriting recognition',b'Up to 260 h',b'Up to 8 h',b'Stylish black',,,,b'Dual speakers',b'About 560 EUR',b'Removable Li-Po 1620 mAh battery',,,,,,,,,,,b'QWERTY',"b'WAP 2.0/xHTML, HTML (PocketIE)'",b'Yes',,,"b'Vibration; Downloadable polyphonic, MP3, AAC ringtones'",,,,,,
b'qtek',b'Qtek 8310',b'https://cdn2.gsmarena.com/vv/bigpic/qtek-8310.gif',b'GSM',b'GSM 850 / 900 / 1800 / 1900',,,"b'2005, August'",b'Discontinued',b'107.5 x 46 x 17.5 mm (4.23 x 1.81 x 0.69 in)',b'106 g (3.74 oz)',b'Mini-SIM',"b'TFT, 65K colors'","b'2.2 inches, 34 x 45 mm, 15.0 cm2 (~30.3% screen-to-body ratio)'","b'240 x 320 pixels, 4:3 ratio (~182 ppi density)'",b'Microsoft Windows Mobile 5.0 Smartphone',b'200 MHz ARM926EJ-S',b'MiniSD',"b'64 MB RAM, 64/128 MB ROM'",b'1.3 MP',,b'Yes',,,b'Yes',b'No',b'Wi-Fi 802.11b',b'Yes',b'No',b'No',b'Proprietary',b'',b'5-way navigation button',b'Up to 250 h',b'Up to 5 h',b'',,b'TI OMAP 850',,b'No',,b'Removable Li-Ion 1150 mAh battery',,,,b'Class 10',b'Class 10',,,,,,,"b'WAP 2.0/xHTML, HTML (PocketIE)'",b'Yes',,,"b'Vibration; Downloadable polyphonic, MP3 ringtones, composer'",,,,,,
b'qtek',b'Qtek 8300',b'https://cdn2.gsmarena.com/vv/bigpic/qtek-8300.gif',b'GSM',b'GSM 850 / 900 / 1800 / 1900',,,"b'2005, August'",b'Discontinued',b'107.5 x 46 x 17.5 mm (4.23 x 1.81 x 0.69 in)',b'106 g (3.74 oz)',b'Mini-SIM',"b'TFT, 65K colors'","b'2.2 inches, 34 x 45 mm, 15.0 cm2 (~30.3% screen-to-body ratio)'","b'240 x 320 pixels, 4:3 ratio (~182 ppi density)'",b'Microsoft Windows Mobile 5.0 Smartphone',b'200 MHz ARM926EJ-S',b'MiniSD',"b'32 MB RAM, 64 MB ROM'",b'1.3 MP',,b'QCIF',,,b'Yes',b'No',b'Wi-Fi 802.11b',b'Yes',b'No',b'No',b'Proprietary',b'',b'5-way navigation button',b'Up to 250 h',b'Up to 5 h',b'',,b'TI OMAP 850',,b'No',,b'Removable Li-Ion 1150 mAh battery',,,,b'Class 10',b'Class 10',,,,,,,"b'WAP 2.0/xHTML, HTML (PocketIE)'",b'Yes',,,"b'Vibration; Downloadable polyphonic, MP3 ringtones'",,,,,,
b'qtek',b'Qtek 9100',b'https://cdn2.gsmarena.com/vv/bigpic/qtek-9100.gif',b'GSM',b'GSM 850 / 900 / 1800 / 1900',,,"b'2005, Q3'",b'Discontinued',b'109 x 58 x 23 mm (4.29 x 2.28 x 0.91 in)',b'160 g (5.64 oz)',b'Mini-SIM',"b'TFT resistive touchscreen, 65K colors'","b'2.8 inches, 42 x 57 mm, 24.3 cm2 (~38.4% screen-to-body ratio)'","b'240 x 320 pixels, 4:3 ratio (~143 ppi density)'",b'Microsoft Windows Mobile 5.0 PocketPC',b'200 MHz ARM926EJ-S',b'miniSD',"b'64 MB RAM, 128 MB ROM'",b'1.3 MP',b'LED flash',b'Yes',,,b'Yes',b'No',b'Wi-Fi 802.11b/g',b'2.0',b'No',b'No',b'Proprietary',b'',b'No',b'Up to 200 h',b'Up to 4 h',b'Stylish black',,b'TI OMAP 850',,b'Microsoft ActiveSync Pocket Office  MP3/AAC player Predictive text input',,b'Removable Li-Po 1250 mAh battery',,,,b'Class 10',b'Class 10',,,,,,b'QWERTY',"b'WAP 2.0/xHTML, HTML (PocketIE)'",b'Yes',,,"b'Vibration; Downloadable polyphonic, MP3 ringtones'",,,,,,
b'qtek',b'Qtek 8100',b'https://cdn2.gsmarena.com/vv/bigpic/qtek-8100.gif',b'GSM',b'GSM 900 / 1800 / 1900',,,"b'2005, Q1'",b'Discontinued',b'107 x 47 x 19 mm (4.21 x 1.85 x 0.75 in)',b'106 g (3.74 oz)',b'Mini-SIM',"b'TFT, 65K colors'","b'2.2 inches, 35 x 44 mm, 15.2 cm2 (~30.3% screen-to-body ratio)'",b'176 x 220 pixels (~128 ppi density)',b'Microsoft Smartphone 2003 SE',b'200 MHz ARM926EJ-S',b'MiniSD',b'32 MB RAM',b'VGA',,b'Yes',,,b'Yes',b'No',b'No',b'Yes',b'No',b'No',b'Proprietary',b'',b'5-way navigation button 3-color LED indicator Downloadable logos',b'Up to 140 h',b'Up to 4 h 30 min',b'Stylish black and silver',,b'TI OMAP 730',,b'No',,b'Removable Li-Ion 1050 mAh battery',,,,b'Class 10',b'No',,,,,,,"b'WAP 2.0/xHTML, HTML (PocketIE)'",b'Yes',,,"b'Vibration; Downloadable polyphonic, MP3 ringtones, composer'",b'8',,,,,
b'qtek',b'Qtek S110',b'https://cdn2.gsmarena.com/vv/bigpic/qtek-s110.gif',b'GSM',b'GSM 900 / 1800 / 1900',,,"b'2005, Q2'",b'Discontinued',b'108 x 58 x 18 mm (4.25 x 2.28 x 0.71 in)',b'150 g (5.29 oz)',b'Mini-SIM',"b'TFT resistive touchscreen, 65K colors'","b'2.8 inches, 42 x 57 mm, 24.3 cm2 (~38.8% screen-to-body ratio)'","b'240 x 320 pixels, 4:3 ratio (~143 ppi density)'",b'Microsoft Windows Mobile 2003 SE PocketPC',b'Intel Bulverde 416 MHz',b'SDIO/MMC',b'128 MB RAM',b'1.3 MP',,b'Yes',,,b'Yes',b'No',b'No',b'1.2',b'No',b'No',b'Proprietary',b'',b'Handwriting recognition',b'Up to 180 h',b'Up to 5 h',b'Stylish black',,,,b'No',,b'Removable Li-Po 1200 mAh battery',,,,b'Class 10',b'No',,,,,,,"b'WAP 2.0/xHTML, HTML (PocketIE)'",b'Yes',,,b'Vibration; Downloadable polyphonic ringtones',,,,,,
b'qtek',b'Qtek S100',b'https://cdn2.gsmarena.com/vv/bigpic/qtek-s100.gif',b'GSM',b'GSM 900 / 1800 / 1900',,,"b'2004, Q4'",b'Discontinued',b'108 x 58 x 18 mm (4.25 x 2.28 x 0.71 in)',b'150 g (5.29 oz)',b'Mini-SIM',"b'TFT resistive touchscreen, 65K colors'","b'2.8 inches, 42 x 57 mm, 24.3 cm2 (~38.8% screen-to-body ratio)'","b'240 x 320 pixels, 4:3 ratio (~143 ppi density)'",b'Microsoft Windows Mobile 2003 SE PocketPC',b'Intel Bulverde 416 MHz',b'SDIO/MMC',b'64 MB RAM',b'1.3 MP',,b'Yes',,,b'Yes',b'No',b'No',b'Yes',b'No',b'No',b'Proprietary',b'',b'Handwriting recognition',b'Up to 180 h',b'Up to 5 h',b'Stylish black and silver',,,,b'No',,b'Removable Li-Po 1200 mAh battery',,,,b'Class 10',b'No',,,,,,,"b'WAP 2.0/xHTML, HTML (PocketIE)'",b'Yes',,,b'Vibration; Downloadable polyphonic ringtones',,,,,,
b'qtek',b'Qtek 9090',b'https://cdn2.gsmarena.com/vv/bigpic/qtek-9090.gif',b'GSM',b'GSM 850 / 900 / 1800 / 1900',,,"b'2004, Q3'",b'Discontinued',b'125 x 71 x 18 mm (4.92 x 2.80 x 0.71 in)',b'210 g (7.41 oz)',b'Mini-SIM',"b'TFT resistive touchscreen, 65K colors'","b'3.5 inches, 53 x 71 mm, 37.9 cm2 (~42.7% screen-to-body ratio)'","b'240 x 320 pixels, 4:3 ratio (~114 ppi density)'",b'Microsoft Windows Mobile 2003 SE PocketPC',b'Intel PXA263 400 MHz',b'SDIO/MMC',b'128 MB RAM',b'VGA',,b'Yes',,,b'Yes',b'No',b'Wi-Fi 802.11b',b'Yes',b'No',b'No',b'Proprietary',b'',b'Downloadable logos',b'Up to 200 h',b'Up to 5 h',b'Stylish black and silver',,,,b'No',,b'Removable Li-Po 1490 mAh battery',,,,b'Class 10',b'No',,,,,,b'QWERTY',"b'WAP 2.0/xHTML, HTML (PocketIE)'",b'Yes',,,"b'Vibration; Downloadable polyphonic, MP3 ringtones'",b'8',,,,,
b'qtek',b'Qtek 8020',b'https://cdn2.gsmarena.com/vv/bigpic/qtek-8020.gif',b'GSM',b'GSM 900 / 1800 / 1900',,,"b'2004, Q3'",b'Discontinued',b'107 x 44 x 18 mm (4.21 x 1.73 x 0.71 in)',b'102 g (3.60 oz)',b'Mini-SIM',"b'TFT, 65K colors'","b'2.2 inches, 35 x 44 mm, 15.2 cm2 (~32.4% screen-to-body ratio)'",b'176 x 220 pixels (~128 ppi density)',b'Microsoft Windows Mobile 2003 SE Smartphone',b'200 MHz ARM926EJ-S',b'MiniSD',b'32 MB RAM',b'VGA',,b'Yes',,,b'Yes',b'No',b'No',b'Yes',b'No',b'No',b'Proprietary',b'',b'5-way navigation button 3-color LED indicator Downloadable logos',b'Up to 140 h',b'Up to 5 h',b'Stylish black and silver',,b'TI OMAP 730',,b'No',,b'Removable Li-Ion 1050 mAh battery',,,,b'Class 10',b'No',,,,,,,"b'WAP 2.0/xHTML, HTML (PocketIE)'",b'Yes',,,"b'Vibration; Downloadable polyphonic, MP3 ringtones'",b'8',,,,,
b'qtek',b'Qtek 8010',b'https://cdn2.gsmarena.com/vv/bigpic/qtek-8010.gif',b'GSM',b'GSM 900 / 1800 / 1900',,,"b'2004, Q2'",b'Discontinued',b'107 x 46 x 17.5 mm (4.21 x 1.81 x 0.69 in)',b'106 g (3.74 oz)',b'Mini-SIM',"b'TFT, 65K colors'","b'2.2 inches, 35 x 44 mm, 15.2 cm2 (~30.9% screen-to-body ratio)'",b'176 x 220 pixels (~128 ppi density)',b'Microsoft Windows Mobile 2003 SE Smartphone',b'200 MHz ARM926EJ-S',b'MiniSD',b'32 MB RAM',b'VGA',,b'Yes',,,b'Yes',b'No',b'No',b'Yes',b'No',b'No',b'Proprietary',b'',b'5-way navigation button 3-color LED indicator Downloadable logos',b'Up to 140 h',b'Up to 5 h',"b'Cool metallic, Light blue'",,b'TI OMAP 730',,b'No',,b'Removable Li-Ion 1050 mAh battery',,,,b'Class 10',b'No',,,,,,,b'HTML (Pocket IE)',b'Yes',,,"b'Vibration; Downloadable polyphonic, MP3 ringtones'",b'8',,,,,
b'qtek',b'Qtek 2020i',b'https://cdn2.gsmarena.com/vv/bigpic/qtek-2020i.gif',b'GSM',b'GSM 900 / 1800 / 1900',,,"b'2004, Q2'",b'Discontinued',"b'130 x 70 x 18 mm, 105 cc (5.12 x 2.76 x 0.71 in)'",b'190 g (6.70 oz)',b'Mini-SIM',"b'TFT resistive touchscreen, 65K colors'","b'3.5 inches, 53 x 71 mm, 37.9 cm2 (~41.7% screen-to-body ratio)'","b'240 x 320 pixels, 4:3 ratio (~114 ppi density)'",b'Microsoft Windows Mobile 2003 SE PocketPC',b'Intel Bulverde 520 MHz',b'SDIO/MMC',"b'128 MB RAM, 128 MB ROM'",b'1.3 MP',,b'Yes',,,b'Yes',b'No',b'Wi-Fi 802.11b',b'Yes',b'No',b'No',b'Proprietary',b'',b'5-way navigation button Downloadable logos',b'Up to 168 h',b'Up to 4 h',b'Silver',,,,b'No',,b'Removable Li-Ion 1300 mAh battery',,,,b'Class 10',b'No',,,,,,,"b'WAP 2.0/xHTML, HTML (PocketIE)'",b'Yes',,,"b'Vibration; Downloadable polyphonic, MP3 ringtones'",,,,,,
b'qtek',b'Qtek 2020',b'https://cdn2.gsmarena.com/vv/bigpic/qtek-2020.gif',b'GSM',b'GSM 900 / 1800 / 1900',,,"b'2004, Q2'",b'Discontinued',"b'130 x 70 x 18 mm, 105 cc (5.12 x 2.76 x 0.71 in)'",b'190 g (6.70 oz)',b'Mini-SIM',"b'TFT resistive touchscreen, 65K colors'","b'3.5 inches, 53 x 71 mm, 37.9 cm2 (~41.7% screen-to-body ratio)'","b'240 x 320 pixels, 4:3 ratio (~114 ppi density)'",b'Microsoft Windows Mobile 2003 PocketPC',b'Intel PXA263 400 MHz',b'SDIO/MMC',b'64 MB RAM (128 MB optional)',b'VGA',,b'Yes',,,b'Yes',b'No',b'No',b'Yes',b'No',b'No',b'Proprietary',b'',b'5-way navigation button Downloadable logos',b'Up to 160 h',b'Up to 3 h 30 min',b'Silver',,,,b'No',,b'Removable Li-Ion 1200 mAh battery',,,,b'Class 10',b'No',,,,,,,b'HTML (Pocket IE)',b'Yes',,,"b'Vibration; Downloadable polyphonic, MP3 ringtones'",b'7',,,,,
b'qtek',b'Qtek 8080',b'https://cdn2.gsmarena.com/vv/bigpic/qtek-8080.gif',b'GSM',b'GSM 900 / 1800 / 1900',,,"b'2004, Q1'",b'Discontinued',"b'120 x 50 x 23.5 mm, 105 cc (4.72 x 1.97 x 0.93 in)'",b'130 g (4.59 oz)',b'Mini-SIM',"b'TFT, 65K colors'","b'2.2 inches, 35 x 44 mm, 15.2 cm2 (~25.4% screen-to-body ratio)'",b'176 x 220 pixels (~128 ppi density)',b'Microsoft Windows Mobile 2003 Smartphone',b'133 MHz  ARM925',b'SDIO/MMC',"b'32 MB RAM, 64 MB ROM'",b'VGA',,b'No',,,b'Yes',b'No',b'No',b'Yes',b'No',b'No',b'Proprietary',b'',b'White LED back light 5-way navigation button Downloadable logos',b'Up to 90 h',b'Up to 6 h',b'',,b'TI OMAP 710',,b'No',,b'Removable Li-Ion 1000 mAh battery',,,,b'Class 8',b'No',,,,,,,b'HTML (Pocket IE)',b'Yes',,,"b'Vibration; Downloadable polyphonic, MP3 ringtones'",b'7',,,,,
b'qtek',b'Qtek 8060',b'https://cdn2.gsmarena.com/vv/bigpic/qtek-8060.gif',b'GSM',b'GSM 900 / 1800 / 1900',,,"b'2004, Q1'",b'Discontinued',"b'120 x 50 x 23.5 mm, 105 cc (4.72 x 1.97 x 0.93 in)'",b'130 g (4.59 oz)',b'Mini-SIM',"b'TFT, 65K colors'","b'2.2 inches, 35 x 44 mm, 15.2 cm2 (~25.4% screen-to-body ratio)'",b'176 x 220 pixels (~128 ppi density)',b'Microsoft Windows Mobile 2003 Smartphone',b'133 MHz  ARM925',b'SDIO/MMC',"b'32 MB RAM, 64 MB ROM'",b'VGA',,b'No',,,b'Yes',b'No',b'No',b'Yes',b'No',b'No',b'Proprietary',b'',b'White LED back light 5-way navigation button Downloadable logos',b'Up to 90 h',b'Up to 6 h',b'',,b'TI OMAP 710',,b'No',,b'Removable Li-Ion 1000 mAh battery',,,,b'Class 8',b'No',,,,,,,b'HTML (Pocket IE)',b'Yes',,,"b'Vibration; Downloadable polyphonic, MP3 ringtones'",b'7',,,,,
b'qtek',b'Qtek 1010',b'https://cdn2.gsmarena.com/vv/bigpic/qtek-1010.gif',b'GSM',b'GSM 900 / 1800',,,b'2003',b'Discontinued',b'129 x 73 x 18 mm (5.08 x 2.87 x 0.71 in)',b'201 g (7.09 oz)',b'Mini-SIM',"b'TFT resistive resistive touchscreen, 4096 colors'","b'3.5 inches, 53 x 71 mm, 37.9 cm2 (~40.3% screen-to-body ratio)'","b'240 x 320 pixels, 4:3 ratio (~114 ppi density)'",b'Microsoft Windows Mobile 2002 PocketPC',,b'MMC/SD',"b'64 MB RAM, 32 MB ROM'",,,,,,b'Yes',b'No',b'No',b'No',b'No',b'No',b'Proprietary',b'',b'No',b'Up to 150 h',b'Up to 5 h',b'',,,,b'Pocket Office  Media player Voice memo',,b'Removable Li-Ion 1500 mAh battery',,,,b'Class 8',b'No',,,,,,,b'HTML (PocketIE)',b'Yes',,,"b'Vibration; Downloadable polyphonic, WAV ringtones'",,,,,,
b'qtek',b'Qtek 7070',b'https://cdn2.gsmarena.com/vv/bigpic/qtek-7070.gif',b'GSM',b'GSM 900 / 1800 / 1900',,,"b'2004, Q1'",b'Discontinued',"b'120 x 50 x 23.5 mm, 105 cc (4.72 x 1.97 x 0.93 in)'",b'120 g (4.23 oz)',b'Mini-SIM',"b'TFT, 65K colors'","b'2.2 inches, 35 x 44 mm, 15.2 cm2 (~25.4% screen-to-body ratio)'",b'176 x 220 pixels (~128 ppi density)',b'Microsoft Windows 2002 Smartphone',b'120 MHz',b'MMC/SD',"b'16 MB RAM, 32 MB ROM'",,,,,,b'Yes',b'No',b'No',b'No',b'No',b'No',b'Proprietary',b'',b'White LED back light 5-way navigation button Downloadable logos',b'Up to 100 h',b'Up to 3 h',b'',,,,b'No',,b'Removable Li-Ion 1000 mAh battery',,,,b'Class 8',b'No',,,,,,,b'HTML (PocketIE)',b'Yes',,,"b'Vibration; Downloadable polyphonic, MP3 ringtones'",b'7',,,,,
