Brand,Model Name,Model Image,Technology,2G bands,,GPRS,EDGE,Announced,Status,Dimensions,Weight,SIM,Type,Size,Resolution,Card slot,Phonebook,Call records,Internal,_1,Loudspeaker,Alert types,3.5mm jack,WLAN,Bluetooth,GPS,Radio,USB,Sensors,Messaging,Browser,Games,Java,_1_1,Stand-by,Talk time,Colors,Single,Video,Infrared port,3G bands,Speed,Features,Keyboard,OS,CPU,Languages,Single_1,Video_1,Chipset,Clock,Alarm,4G bands,Protection,GPU,NFC,Charging,Music play,Price,Loudspeaker_1
b'sonim',b'Sonim XP8',b'https://cdn2.gsmarena.com/vv/bigpic/sonim-xp8.jpg',b'GSM / CDMA / HSPA / EVDO / LTE',b'GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2',b'CDMA 800 / 1900',,,"b'2018, April'","b'Available. Released 2018, May'",b'152 x 79.5 x 18 mm (5.98 x 3.13 x 0.71 in)',b'335 g (11.82 oz)',"b'Dual SIM (Nano-SIM, dual stand-by)'","b'IPS LCD capacitive touchscreen, 16M colors'","b'5.0 inches, 68.9 cm2 (~57.0% screen-to-body ratio)'","b'1080 x 1920 pixels, 16:9 ratio (~441 ppi density)'","b'microSD, up to 128 GB'",,,"b'64 GB, 4 GB RAM'",b'CDMA2000 1xEV-DO',b'Yes',,b'Yes',"b'Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct, hotspot'","b'5.0, A2DP, EDR, LE'","b'Yes, with A-GPS, GLONASS'",b'FM radio',"b'2.0, Type-C 1.0 reversible connector; magnetic connector'","b'Accelerometer, gyro, proximity, compass, barometer'",,,,,b'Removable Li-Ion 4900 mAh battery',b'Up to 720 h',b'Up to 30 h',b'Black',"b'12 MP, PDAF'",b'1080p@30fps',,b'HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100',"b'HSPA 42.2/5.76 Mbps, LTE-A (3CA) Cat12 600/150 Mbps'","b'LED flash, HDR, panorama'",,b'Android 7.0 (Nougat)',b'Octa-core 2.2 GHz Cortex-A53',,b'8 MP',b'',b'Qualcomm SDM630 Snapdragon 630 (14 nm)',,,"b'LTE band 1(2100), 2(1900), 3(1800), 4(1700/2100), 5(850), 7(2600), 8(900), 12(700), 13(700), 14(700), 20(800), 25(1900), 26(850), 28(700), 29(700), 30(2300), 38(2600), 40(2300), 41(2500), 66(1700/2100)'",b'Corning Gorilla Glass 3',b'Adreno 508',b'Yes',b'Fast battery charging 18W (Quick Charge 4)',b'Up to 70 h',b'About 700 EUR',
b'sonim',b'Sonim XP7',b'https://cdn2.gsmarena.com/vv/bigpic/sonim-xp7.jpg',b'GSM / HSPA / LTE',b'GSM 850 / 900 / 1800 / 1900',b'HSDPA 850 / 1900 / 2100 - Telus',,,"b'2014, November'","b'Available. Released 2015, April'",b'137 x 72.1 x 20.8 mm (5.39 x 2.84 x 0.82 in)',b'290 g (10.23 oz)',b'Micro-SIM',"b'Capacitive touchscreen, 16M colors'","b'4.0 inches, 45.5 cm2 (~46.1% screen-to-body ratio)'","b'480 x 800 pixels, 5:3 ratio (~233 ppi density)'",b'No',,,"b'16 GB, 1 GB RAM'","b'LTE band 1(2100), 2(1900), 3(1800), 4(1700/2100), 5(850), 7(2600), 17(700) - Telus'",b'Yes',,b'Yes',"b'Wi-Fi 802.11 a/b/g/n, dual-band, hotspot'","b'4.0, A2DP, LE'","b'Yes, with A-GPS, GLONASS'",b'FM radio',b'microUSB 2.0',"b'Accelerometer, proximity'",,,,,b'Non-removable Li-Ion 4800 mAh battery',b'Up to 1000 h',b'Up to 40 h',"b'Black, Yellow'","b'8 MP, AF'",b'1080p@30fps',,b'HSDPA 850 / 900 / 1900 / 2100',"b'HSPA, LTE'",b'LED flash',,b'Android 4.4.2 (KitKat)',b'Quad-core 1.2 GHz Cortex-A7',,b'1 MP',b'',b'Qualcomm MSM8926 Snapdragon 400 (28 nm)',,,"b'LTE band 1(2100), 2(1900), 4(1700/2100), 5(850), 7(2600), 8(900), 12(700), 17(700)'",b'Corning Gorilla Glass 2',b'Adreno 305',b'Yes',,,b'About 700 EUR',
b'sonim',b'Sonim XP6',b'https://cdn2.gsmarena.com/vv/bigpic/sonim-xp6.jpg',b'GSM / HSPA / LTE',b'GSM 850 / 900 / 1800 / 1900',b'MIL-STD-810G compliant IP68/IP69 dust/water proof (up to 1.8m for 30 min) Drop-to-concrete resistance from up to 2m Operational range -20\xc2\xb0C to +55\xc2\xb0C Flashlight',,,"b'2014, November'","b'Available. Released 2014, December'",b'137 x 64.5 x 20.5 mm (5.39 x 2.54 x 0.81 in)',b'270 g (9.52 oz)',b'Micro-SIM',"b'Capacitive touchscreen, 256K colors'","b'2.63 inches, 21.3 cm2 (~24.2% screen-to-body ratio)'","b'320 x 432 pixels, 4:3 ratio (~204 ppi density)'",b'No',,,"b'8 GB, 1 GB RAM'",b'No',b'Yes',,b'Yes',"b'Wi-Fi 802.11 a/b/g/n, dual-band, hotspot'","b'4.0, A2DP, LE'","b'Yes, with A-GPS, GLONASS'",b'FM radio',b'microUSB 2.0',"b'Accelerometer, proximity'",,,,,b'Non-removable Li-Ion 4800 mAh battery',b'Up to 1080 h',b'Up to 40 h',b'Black',b'5 MP',b'720p@30fps',,b'HSDPA 850 / 900 / 1900 / 2100',"b'HSPA, LTE'",,,b'Android 4.4.2 (KitKat)',b'Quad-core 1.2 GHz Cortex-A7',,,,b'Qualcomm MSM8926 Snapdragon 400 (28 nm)',,,"b'LTE band 1(2100), 2(1900), 4(1700/2100), 5(850), 7(2600), 8(900), 12(700), 17(700)'",b'Yes',b'Adreno 305',,,,b'About 490 EUR',
b'sonim',b'Sonim XP3400 Armor',b'https://cdn2.gsmarena.com/vv/bigpic/sonim-xp3400-armor.jpg',b'CDMA / EVDO',b'CDMA 800 / 1900',b'MIL-STD-810G compliant IP68 dust/water proof (up to 2m for 1 hour) Drop-to-concrete resistance from up to 2m Operational range -20\xc2\xb0C to +55\xc2\xb0C Flashlight',,,"b'2011, Q3. Released 2012, Q1'",b'Discontinued',b'126 x 60 x 25 mm (4.96 x 2.36 x 0.98 in)',b'185 g (6.53 oz)',b'Mini-SIM',"b'TFT, 65K colors'","b'2.0 inches, 12.4 cm2 (~16.4% screen-to-body ratio)'","b'240 x 320 pixels, 4:3 ratio (~200 ppi density)'","b'microSD, up to 8 GB (dedicated slot)'",b'Yes',b'Yes',,b'No',b'Yes',,b'Yes',b'No',"b'2.1, A2DP, EDR'","b'Yes, with A-GPS'",b'FM radio',b'2.0',b'',"b'SMS, MMS, Email'",,b'Yes',b'No',b'Removable Li-Ion 1750 mAh battery',b'Up to 850 h',b'Up to 9 h 30 min',"b'Black, Black/Yellow'",b'2 MP',b'Yes',,b'CDMA2000 1xEV-DO',b'EV-DO Rev.A 3.1 Mbps',b'LED flash',,,,,,,b'Qualcomm QSC6085',,,,b'Corning Gorilla Glass',,,,,,
b'sonim',b'Sonim XP5300 Force 3G',b'https://cdn2.gsmarena.com/vv/bigpic/sonim-xp5300-force-3g.jpg',b'GSM / HSPA',b'GSM 850 / 900 / 1800 / 1900',b'MIL-STD-810G compliant IP68 dust/water proof (up to 2m for 1 hour) Drop-to-concrete resistance from up to 2m Operational range -20\xc2\xb0C to +55\xc2\xb0C Flashlight',,,"b'2011, August'",b'Discontinued',b'126 x 60 x 25 mm (4.96 x 2.36 x 0.98 in)',b'185 g (6.53 oz)',b'Mini-SIM',"b'TFT, 65K colors'","b'2.0 inches, 12.4 cm2 (~16.4% screen-to-body ratio)'","b'240 x 320 pixels, 4:3 ratio (~200 ppi density)'","b'microSD, up to 16 GB (dedicated slot)'",b'Yes',b'Yes',,b'No',b'Yes',,b'Yes',b'No',"b'2.1, A2DP, EDR'","b'Yes, with A-GPS'",b'FM radio',b'2.0',b'Accelerometer',"b'SMS, MMS, Email'",,b'Yes',"b'Yes, MIDP 2.0'",b'Removable Li-Ion 1950 mAh battery',b'Up to 1500 h',b'Up to 22 h (2G) / Up to 12 h (3G)',"b'Black, Black/Yellow'",b'2 MP',b'Yes',,b'HSDPA 900 / 1700 / 2100',"b'Yes, 384 kbps'",b'LED flash',,,,,,,,,,,b'Corning Gorilla Glass',,,,,,
b'sonim',b'Sonim XP3340 Sentinel',b'https://cdn2.gsmarena.com/vv/bigpic/sonim-xp3340-sentinel.jpg',b'GSM',b'GSM 850 / 900 / 1800 / 1900',b'MIL-STD-810G compliant IP68 dust/water proof (up to 2m for 1 hour) Drop-to-concrete resistance from up to 2m Operational range -20\xc2\xb0C to +55\xc2\xb0C Flashlight',b'Class 12',b'Class 12',"b'2011, August'",b'Discontinued',b'126 x 60 x 25 mm (4.96 x 2.36 x 0.98 in)',b'185 g (6.53 oz)',b'Mini-SIM',"b'TFT, 65K colors'","b'2.0 inches, 12.4 cm2 (~16.4% screen-to-body ratio)'","b'240 x 320 pixels, 4:3 ratio (~200 ppi density)'","b'microSD, up to 16 GB (dedicated slot)'",,,,b'No',b'Yes',,b'Yes',b'No',"b'2.1, A2DP'","b'Yes, with A-GPS'",b'FM radio',b'2.0',b'Accelerometer',,,,,b'Removable Li-Ion 1750 mAh battery',b'Up to 800 h',b'Up to 24 h',"b'Black, Black/Yellow'",b'2 MP',b'Yes',,,,b'LED flash',,b'MediaTek MT6235 platform',,,,,,,,,b'Corning Gorilla Glass',,,,,,
b'sonim',b'Sonim XP3300 Force',b'https://cdn2.gsmarena.com/vv/bigpic/sonim-xp3300-force.jpg',b'GSM',b'GSM 850 / 900 / 1800 / 1900',b'MIL-STD-810G compliant IP68 dust/water proof (up to 2m for 1 hour) Drop-to-concrete resistance from up to 2m Operational range -20\xc2\xb0C to +55\xc2\xb0C Flashlight',b'Class 12',b'Class 12',"b'2011, February. Released 2011, March'",b'Discontinued',b'126 x 60 x 25 mm (4.96 x 2.36 x 0.98 in)',b'185 g (6.53 oz)',b'Mini-SIM',"b'TFT, 65K colors'","b'2.0 inches, 12.4 cm2 (~16.4% screen-to-body ratio)'","b'240 x 320 pixels, 4:3 ratio (~200 ppi density)'","b'microSD, up to 16 GB (dedicated slot)'",,,,b'No',b'Yes',,b'Yes',b'No',"b'2.1, A2DP'","b'Yes, with A-GPS'",b'FM radio',b'2.0',b'',,b'WAP 2.0/xHTML',,,b'Removable Li-Ion 1750 mAh battery',b'Up to 800 h',b'Up to 18 h',"b'Black, Black/Yellow'",b'2 MP',b'No',,,,b'LED flash',,b'MediaTek MT6235 platform',,,,,,,,,b'Corning Gorilla Glass',,,,,b'About 370 EUR',
b'sonim',b'Sonim XP1300 Core',b'https://cdn2.gsmarena.com/vv/bigpic/sonim-xp1300-core.jpg',b'GSM',b'GSM 850 / 900 / 1800 / 1900',b'MIL-STD-810F compliant IP68 dust/water proof (up to 1.5m for 30 mins) Drop-to-concrete resistance from up to 2m Operational range -20\xc2\xb0C to +55\xc2\xb0C Flashlight',b'Class 10',b'Class 10',"b'2010, October. Released 2010, November'",b'Discontinued',b'126 x 60 x 25 mm (4.96 x 2.36 x 0.98 in)',b'185 g (6.53 oz)',b'Mini-SIM',"b'TFT, 65K colors'","b'2.0 inches, 12.4 cm2 (~16.4% screen-to-body ratio)'","b'240 x 320 pixels, 4:3 ratio (~200 ppi density)'","b'microSD, up to 8 GB (dedicated slot)'",,,,b'No',b'Yes',,b'Yes',b'No',"b'2.1, A2DP'",b'No',b'FM radio',b'2.0',b'',,b'WAP 2.0/xHTML (Opera Mini)',,,b'Removable Li-Ion 1750 mAh battery',b'Up to 800 h',b'Up to 18 h',"b'Black, Black/Yellow'",,,,,,,,b'MediaTek MT6235 platform',,,,,,,,,b'Corning Gorilla Glass',,,,,b'About 290 EUR',
b'sonim',b'Sonim XP3 Sentinel',b'https://cdn2.gsmarena.com/vv/bigpic/sonim-xp3-sentinel.jpg',b'GSM',b'GSM 900 / 1800 / 1900',b'GSM 850 / 1800 / 1900',b'Class 10',b'Class 10',"b'2010, July. Released 2010, July'",b'Discontinued',b'119 x 56 x 25 mm (4.69 x 2.20 x 0.98 in)',b'170 g (6.00 oz)',b'Mini-SIM',"b'TFT, 65K colors'",b'',b'176 x 220 pixels',"b'microSD, up to 2 GB (dedicated slot)'","b'Yes, up to 1000 entries'",b'Yes',,b'IP67 dust/water resistant (up to 1m for 30 mins) MIL-STD-810G compliant Drop-to-concrete resistance from up to 2m Operational range -20\xc2\xb0C to +55\xc2\xb0C Flashlight Dedicated red risk side button for emergency GPS alerts',b'Yes',,b'No',b'No',b'2.0',"b'Yes, with A-GPS; SIRF InstantFix'",b'Stereo FM radio',b'miniUSB 2.0',b'Accelerometer',b'SMS(1000)',b'WAP 2.0/xHTML',b'Yes',"b'Yes, MIDP 2.0'",b'Removable Li-Ion 1850 mAh battery',b'Up to 1500 h',b'Up to 18 h',b'Black',b'2 MP',b'Yes',,,,b'LED flash',,,b'264 MHz ARM 9',,,,b'Philips Nexperia 5210',,,,b'Corning Gorilla Glass',,,,,,
b'sonim',b'Sonim XP2.10 Spirit',b'https://cdn2.gsmarena.com/vv/bigpic/sonim-xp2.10-spirit-new.jpg',b'GSM / HSPA',b'GSM 900 / 1800 / 1900',b'GSM 850 / 1800 / 1900',,,"b'2010, February. Released 2010, March'",b'Discontinued',b'130.7 x 59.7 x 21.7 mm (5.15 x 2.35 x 0.85 in)',b'180 g (6.35 oz)',b'Mini-SIM',"b'TFT, 256K colors'","b'2.0 inches, 12.4 cm2 (~15.9% screen-to-body ratio)'","b'240 x 320 pixels, 4:3 ratio (~200 ppi density)'","b'microSD, up to 8 GB (dedicated slot)'","b'Yes, up to 1000 entries'",b'Yes',b'40 MB',b'IP67 dust/water resistant (up to 1m for 30 mins) MIL-STD-810D compliant Drop-to-concrete resistance from up to 2m Operational range -20\xc2\xb0C to +55\xc2\xb0C Flashlight',b'Yes',,b'No',b'No',"b'1.2, A2DP'",b'No',b'Stereo FM radio',b'microUSB 2.0',b'',"b'SMS, MMS, Email'","b'WAP 2.0/xHTML, HTML (Opera Mini)'",b'Yes',"b'Yes, MIDP 2.0'",b'Removable Li-Ion 1300 mAh battery',b'Up to 428 h',b'Up to 8 h',b'Black',b'3.15 MP',b'Yes',,b'HSDPA 2100',b'HSPA 7.2/0.384 Mbps',b'LED flash',,,,,,,,,,,b'Corning Gorilla Glass',,,,,,
b'sonim',b'Sonim XP3.20 Quest Pro',b'https://cdn2.gsmarena.com/vv/bigpic/sonim-xp3quest.jpg',b'GSM',b'GSM 900 / 1800 / 1900',b'GSM 850 / 1800 / 1900',b'Class 10',b'Yes',"b'2010, January. Released 2010, Q2'",b'Discontinued',b'119 x 56 x 25 mm (4.69 x 2.20 x 0.98 in)',b'170 g (6.00 oz)',b'Mini-SIM',"b'TFT, 65K colors'","b'1.77 inches, 9.9 cm2 (~14.8% screen-to-body ratio)'",b'176 x 220 pixels (~159 ppi density)',"b'microSD, up to 2 GB (dedicated slot)'","b'Yes, up to 1000 entries'",b'Yes',,b'IP67 dust/water resistant (up to 1m for 30 mins) MIL-STD-810F compliant Drop-to-concrete resistance from up to 2m Operational range -20\xc2\xb0C to +55\xc2\xb0C Flashlight',b'Yes',,b'No',b'No',b'2.0',"b'Yes, with A-GPS; navigation software'",b'FM radio',b'miniUSB',b'',b'SMS(1000)',b'WAP 2.0/xHTML',b'Yes',b'Yes',b'Removable Li-Ion 1850 mAh battery',b'Up to 1500 h',b'Up to 18 h',b'Black',b'2 MP',b'',,,,b'LED flash',,,,,,,,,,,b'Corning Gorilla Glass',,,,,,
b'sonim',b'Sonim XP3.20 Quest',b'https://cdn2.gsmarena.com/vv/bigpic/sonim-xp3quest.jpg',b'GSM',b'GSM 900 / 1800 / 1900',b'GSM 850 / 1800 / 1900',b'Class 10',b'Yes',"b'2009, July. Released 2009, July'",b'Discontinued',b'119 x 56 x 25 mm (4.69 x 2.20 x 0.98 in)',b'170 g (6.00 oz)',b'Mini-SIM',"b'TFT, 65K colors'","b'1.77 inches, 9.9 cm2 (~14.8% screen-to-body ratio)'",b'176 x 220 pixels (~159 ppi density)',"b'microSD, up to 2 GB (dedicated slot)'","b'Yes, up to 1000 entries'",b'Yes',,b'IP67 dust/water resistant (up to 1m for 30 mins) MIL-STD-810F compliant Drop-to-concrete resistance from up to 2m Operational range -20\xc2\xb0C to +55\xc2\xb0C Flashlight',b'Yes',,b'No',b'No',b'2.0',"b'Yes, with A-GPS; navigation software'",b'FM radio',b'miniUSB',b'',b'SMS(1000)',b'WAP 2.0/xHTML',b'Yes',b'Yes',b'Removable Li-Ion 1850 mAh battery',b'Up to 1500 h',b'Up to 18 h',"b'Black, Yellow'",b'2 MP',b'',,,,b'LED flash',,,,,,,,,,,b'Corning Gorilla Glass',,,,,b'About 430 EUR',
b'sonim',b'Sonim XP3 Enduro',b'https://cdn2.gsmarena.com/vv/bigpic/sonim-xp3.jpg',b'GSM',b'GSM 900 / 1800 / 1900',b'IP67 dust/water resistant (up to 1m for 30 mins) MIL-STD-810F compliant Drop-to-concrete resistance from up to 2m',b'Class 10',b'No',"b'2008, November. Released 2008, November'",b'Discontinued',b'118.8 x 56.3 x 24.6 mm (4.68 x 2.22 x 0.97 in)',b'140 g (4.94 oz)',b'Mini-SIM',"b'TFT, 65K colors'","b'1.77 inches, 9.9 cm2 (~14.7% screen-to-body ratio)'",b'128 x 160 pixels (~116 ppi density)',b'No',"b'Yes, up to 1000 entries'",b'Yes',,b'Wallpapers',b'Yes',,b'No',b'No',b'1.2',b'No',b'No',b'miniUSB',b'',b'SMS(1000)',b'WAP 2.0/xHTML',b'Yes',b'No',b'Removable Li-Ion 1180 mAh battery',b'Up to 220 h',b'Up to 5 h 30 min',"b'Black, Yellow'",,,,,,,,,,,,,,,,,,,,,,b'About 380 EUR',
b'sonim',b'Sonim XP1',b'https://cdn2.gsmarena.com/vv/bigpic/sonim-xp1.jpg',b'GSM',b'GSM 900 / 1800 / 1900',b'IP54 splash proof Drop-to-concrete resistance from up to 1.6m',b'Yes',b'No',"b'2007, December. Released 2007, December'",b'Discontinued',b'114 x 50 x 22 mm (4.49 x 1.97 x 0.87 in)',b'130.3 g (4.59 oz)',b'Mini-SIM',"b'TFT, 65K colors'","b'1.77 inches, 28 x 35 mm, 9.9 cm2 (~17.3% screen-to-body ratio)'",b'128 x 160 pixels (~116 ppi density)',b'No',"b'Yes, up to 500 entries'",b'Yes',b'10 MB',b'Wallpapers',b'Yes',"b'Vibration; Polyphonic, MP3, WAV ringtones'",b'No',b'No',b'1.2',b'No',b'No',b'miniUSB (charging only)',b'',b'SMS',b'WAP',b'Yes',b'No',b'Removable Li-Ion 1000 mAh battery',b'Up to 200 h',b'Up to 5 h',"b'Black, Yellow & Black'",,,,,,,,,,,,,,,,,,,,,,,b'Voice 81dB / Noise 76dB / Ring 82dB'
