Brand,Model Name,Model Image,Technology,2G bands,,GPRS,EDGE,Announced,Status,Dimensions,Weight,SIM,Type,Size,Resolution,Card slot,Phonebook,Call records,Internal,_1,Loudspeaker,Alert types,3.5mm jack,WLAN,Bluetooth,GPS,Radio,USB,Sensors,Messaging,Browser,Games,Java,_1_1,Stand-by,Talk time,Colors,Single,Video,Infrared port,3G bands,Speed,Features,Keyboard,OS,CPU,Languages,Single_1,Video_1,Chipset,Clock,Alarm,4G bands,Protection,GPU,NFC,Charging,Music play,Price,Loudspeaker_1,Build,Triple,Features_1,Performance,Display,Camera,Audio quality,Battery life,Dual,Models,SAR,SAR EU,Dual_1,5G
b'xolo',b'XOLO Era 2X',b'https://cdn2.gsmarena.com/vv/bigpic/lava-xolo-2x.jpg',b'GSM / HSPA / LTE',b'GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2',b'Removable Li-Ion 2500 mAh battery',,,"b'2017, January'","b'Available. Released 2017, January'",b'144 x 72.3 x 9.5 mm (5.67 x 2.85 x 0.37 in)',b'-',b'Dual SIM',"b'IPS LCD capacitive touchscreen, 16M colors'","b'5.0 inches, 68.9 cm2 (~66.2% screen-to-body ratio)'","b'720 x 1280 pixels, 16:9 ratio (~294 ppi density)'","b'microSD, up to 32 GB'",,,"b'16 GB, 2/3 GB RAM'",,b'Yes',,b'Yes',"b'Wi-Fi 802.11 b/g/n, hotspot'","b'4.0, A2DP'","b'Yes, with A-GPS'",b'FM radio',b'microUSB 2.0',"b'Fingerprint (rear-mounted), accelerometer, proximity'",,,,,,b'Up to 322 h (3G)',b'Up to 16 h (2G) / Up to 12 h (3G)',"b'Black/Gun Metal, Latte Gold'","b'8 MP, f/2.0, AF'",b'1080p@30fps',,b'HSDPA 900 / 2100',"b'HSPA 21.1/5.76 Mbps, LTE Cat4 150/50 Mbps'","b'LED flash, HDR, panorama'",,b'Android 6.0 (Marshmallow)',b'Quad-core 1.25 GHz Cortex-A53',,"b'5 MP, f/2.4'",b'',b'Mediatek MT6737 (28 nm)',,,"b'LTE band 3(1800), 5(850), 40(2300)'",,b'Mali-T720MP2',,,,,,,,,,,,,,,,,,,
b'xolo',b'XOLO Era 2',b'https://cdn2.gsmarena.com/vv/bigpic/xolo-era-2.jpg',b'GSM / HSPA / LTE',b'GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2',b'Removable Li-Ion 2350 mAh battery',,,"b'2016, October'","b'Available. Released 2016, October'",b'146.5 x 73 x 9.2 mm (5.77 x 2.87 x 0.36 in)',b'-',b'Dual SIM',"b'TFT capacitive touchscreen, 16M colors'","b'5.0 inches, 68.9 cm2 (~64.4% screen-to-body ratio)'","b'480 x 854 pixels, 16:9 ratio (~196 ppi density)'","b'microSD, up to 32 GB'",,,"b'8 GB, 1 GB RAM'",,b'Yes',,b'Yes',"b'Wi-Fi 802.11 b/g/n, hotspot'","b'4.0, A2DP'","b'Yes, with A-GPS'",b'FM radio',b'microUSB 2.0',b'Accelerometer',,,,,,,,"b'Black, Blue, Gold'","b'5 MP, f/2.0, 1.4\xc2\xb5m, AF'",b'720p@30fps',,b'HSDPA 900 / 2100',"b'HSPA 21.1/5.76 Mbps, LTE Cat4 150/50 Mbps'","b'Panorama, LED flash'",,b'Android 6.0 (Marshmallow)',b'Quad-core 1.3 GHz',,b'5 MP',b'',b'Spreadtrum SC9832A',,,"b'LTE band 3(1800), 5(850), 40(2300)'",,b'Mali-400MP3',,,,,,,,b'LED flash',,,,,,,b'era 2',,,,
b'xolo',b'XOLO Era 1X',b'https://cdn2.gsmarena.com/vv/bigpic/xolo-era-1x.jpg',b'GSM / HSPA / LTE',b'GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2',b'Removable Li-Po 2500 mAh battery',,,"b'2016, September'","b'Available. Released 2016, September'",b'145.5 x 72 x 8.6 mm (5.73 x 2.83 x 0.34 in)',b'-',b'Dual SIM',"b'IPS LCD capacitive touchscreen, 16M colors'","b'5.0 inches, 68.9 cm2 (~65.8% screen-to-body ratio)'","b'720 x 1280 pixels, 16:9 ratio (~294 ppi density)'","b'microSD, up to 32 GB'",,,"b'8 GB, 1 GB RAM'",,b'Yes',,b'Yes',"b'Wi-Fi 802.11 b/g/n, hotspot'","b'4.0, A2DP'","b'Yes, with A-GPS'",b'FM radio',b'microUSB 2.0',"b'Accelerometer, proximity'",,,,,,b'Up to 185 h',b'Up to 22 h (2G) / Up to 13 h 30 min (3G)',"b'Black, Brown/Gold'","b'8 MP, AF'",b'1080p@30fps',,b'HSDPA 900 / 2100',"b'HSPA 21.1/5.76 Mbps, LTE Cat4 150/50 Mbps'","b'LED flash, panorama, HDR'",,b'Android 6.0 (Marshmallow)',b'Quad-core 1.3 GHz',,b'5 MP',b'',b'Spreadtrum SC9832A',,,"b'LTE band 3(1800), 5(850), 40(2300)'",,b'Mali-400MP3',,,,,,,,b'dual-LED flash',,,,,,,,,,,
b'xolo',b'XOLO Era X',b'https://cdn2.gsmarena.com/vv/bigpic/xolo-era-x.jpg',b'GSM / HSPA / LTE',b'GSM 900 / 1800 - SIM 1 & SIM 2',b'Removable Li-Po 2500 mAh battery',,,"b'2016, February'","b'Available. Released 2016, February'",b'145.5 x 72 x 8.5 mm (5.73 x 2.83 x 0.33 in)',b'-',b'Dual SIM',"b'IPS LCD capacitive touchscreen, 16M colors'","b'5.0 inches, 68.9 cm2 (~65.8% screen-to-body ratio)'","b'720 x 1280 pixels, 16:9 ratio (~294 ppi density)'","b'microSD, up to 32 GB'",,,"b'8 GB, 2 GB RAM'",,b'Yes',,b'Yes',"b'Wi-Fi 802.11 b/g/n, hotspot'","b'4.0, A2DP'","b'Yes, with A-GPS'",b'FM radio',b'microUSB 2.0',"b'Accelerometer, proximity'",,,,,,,,b'Black',"b'8 MP, AF'",b'1080p@30fps',,b'HSDPA 900 / 2100',"b'HSPA 21.1/5.76 Mbps, LTE Cat4 150/50 Mbps'","b'LED flash, panorama, HDR'",,"b'Android 5.1.1 (Lollipop), upgradable to 6.0 (Marshmallow)'",b'Quad-core 1.5 GHz',,b'5 MP',b'',b'Spreadtrum SC9830A',,,"b'LTE band 3(1800), 5(850), 40(2300)'",b'Corning Gorilla Glass',,,,,,,,,b'LED flash',,,,,,,,,,,
b'xolo',b'XOLO Era 4K',b'https://cdn2.gsmarena.com/vv/bigpic/xolo-era-4k.jpg',b'GSM / HSPA / LTE',b'GSM 900 / 1800 - SIM 1 & SIM 2',b'Non-removable Li-Ion 4000 mAh battery',,,"b'2016, February'","b'Available. Released 2016, February'",b'143 x 71.8 x 9.2 mm (5.63 x 2.83 x 0.36 in)',b'-',b'Dual SIM',"b'IPS LCD capacitive touchscreen, 16M colors'","b'5.0 inches, 68.9 cm2 (~67.1% screen-to-body ratio)'","b'720 x 1280 pixels, 16:9 ratio (~294 ppi density)'","b'microSD, up to 32 GB'",,,"b'8 GB, 2 GB RAM'",,b'Yes',,b'Yes',"b'Wi-Fi 802.11 b/g/n, hotspot'","b'4.0, A2DP'","b'Yes, with A-GPS'",b'FM radio',b'microUSB 2.0',"b'Accelerometer, proximity'",,,,,,b'Up to 624 h (2G) / Up to 528 h (3G)',b'Up to 32 h (2G) / Up to 17 h (3G)',"b'Blue, White'","b'8 MP, f/2.0, AF'",b'1080p@30fps',,b'HSDPA 900 / 2100',"b'HSPA 42.2/11.5 Mbps, LTE Cat4 150/50 Mbps'","b'Dual-LED flash, panorama, HDR'",,b'Android 5.1.1 (Lollipop)',b'Quad-core 1.0 GHz Cortex-A53',,"b'5 MP, f/2.2'",b'',b'Mediatek MT6735P (28 nm)',,,"b'LTE band 3(1800), 40(2300)'",b'Corning Gorilla Glass 3',b'Mali-T720MP2',,,,,,,,,,,,,,,,,,,
b'xolo',b'XOLO Era 4G',b'https://cdn2.gsmarena.com/vv/bigpic/xolo-era-4g-.jpg',b'GSM / HSPA / LTE',b'GSM 900 / 1800 - SIM 1 & SIM 2',b'Removable Li-Po 2500 mAh battery',,,"b'2016, February'","b'Available. Released 2016, February'",b'145.5 x 72 x 8.5 mm (5.73 x 2.83 x 0.33 in)',b'-',b'Dual SIM',"b'IPS LCD capacitive touchscreen, 16M colors'","b'5.0 inches, 68.9 cm2 (~65.8% screen-to-body ratio)'","b'720 x 1280 pixels, 16:9 ratio (~294 ppi density)'","b'microSD, up to 32 GB'",,,"b'8 GB, 1 GB RAM'",,b'Yes',,b'Yes',"b'Wi-Fi 802.11 b/g/n, hotspot'","b'4.0, A2DP'","b'Yes, with A-GPS'",b'FM radio',b'microUSB 2.0',"b'Accelerometer, proximity'",,,,,,b'Up to 455 h (2G) / Up to 329 h (3G)',b'Up to 13 h 30 min (2G) / Up to 10 h 45 min (3G)',b'Black',"b'5 MP, AF'",b'1080p@30fps',,b'HSDPA 900 / 2100',b'HSPA 21.1/5.76 Mbps',"b'LED flash, panorama, HDR'",,"b'Android 5.1.1 (Lollipop), upgradable to 6.0 (Marshmallow)'",b'Quad-core 1.5 GHz',,b'2 MP',b'',b'Spreadtrum SC9830A',,,"b'LTE band 3(1800), 5(850), 40(2300)'",b'Corning Gorilla Glass',b'Mali-400MP2',,,,,,,,b'LED flash',,,,,,,,,b'0.26 W/kg (head) \xc2\xa0 \xc2\xa0 0.23 W/kg (body)',,
b'xolo',b'XOLO One HD',b'https://cdn2.gsmarena.com/vv/bigpic/xolo-one-hd.jpg',b'GSM / HSPA',b'GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2',b'Removable Li-Po 2300 mAh battery',,,"b'2015, December'","b'Available. Released 2016, January'",b'143 x 72.6 x 9.5 mm (5.63 x 2.86 x 0.37 in)',b'-',b'Dual SIM',"b'IPS LCD capacitive touchscreen, 16M colors'","b'5.0 inches, 68.9 cm2 (~66.4% screen-to-body ratio)'","b'720 x 1280 pixels, 16:9 ratio (~294 ppi density)'","b'microSD, up to 256 GB'",,,"b'8 GB, 1 GB RAM'",,b'Yes',,b'Yes',"b'Wi-Fi 802.11 b/g/n, hotspot'","b'4.0, A2DP'","b'Yes, with A-GPS'",b'FM radio',b'microUSB 2.0',"b'Accelerometer, proximity'",,,,,,b'Up to 200 h (2G) / Up to 182 h (3G)',b'Up to 5 h (2G) / Up to 4 h 30 min (3G)',"b'Space Gray, White'","b'8 MP, f/2.2, AF'",b'1080p@30fps',,b'HSDPA 900 / 2100',b'HSPA 21.1/5.76 Mbps',"b'LED flash, panorama, HDR'",,b'Android 5.1 (Lollipop)',b'Quad-core 1.3 GHz Cortex-A7',,b'5 MP',b'',b'Mediatek MT6580M (28 nm)',,,,,b'Mali-400MP2',,,,,,,,b'LED flash',,,,,,,,,b'0.22 W/kg (head) \xc2\xa0 \xc2\xa0 0.48 W/kg (body)',,
b'xolo',b'XOLO Black 3GB',b'https://cdn2.gsmarena.com/vv/bigpic/xolo-black-3gb.jpg',b'GSM / HSPA / LTE',b'GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2',b'Non-removable Li-Po 3200 mAh battery',,,"b'2015, December'","b'Available. Released 2015, December'",b'155.5 x 76.6 x 7.3 mm (6.12 x 3.02 x 0.29 in)',b'-',b'Dual SIM',"b'IPS LCD capacitive touchscreen, 16M colors'","b'5.5 inches, 83.4 cm2 (~70.0% screen-to-body ratio)'","b'1080 x 1920 pixels, 16:9 ratio (~401 ppi density)'","b'microSD, up to 32 GB'",,,"b'16 GB, 3 GB RAM'",,b'Yes',,b'Yes',"b'Wi-Fi 802.11 b/g/n, hotspot'","b'4.0, A2DP'","b'Yes, with A-GPS, GLONASS'",b'FM radio',"b'microUSB 2.0, USB Host'","b'Accelerometer, gyro, proximity, compass'",,,,,,b'Up to 798 h (2G) / Up to 634 h (3G)',b'Up to 36 h (2G) / Up to 27 h (3G)',b'Black',b'5 MP',b'1080p@30fps',,b'HSDPA 900 / 2100',"b'HSPA 42.2/7.2 Mbps, LTE Cat4 150/50 Mbps'","b'LED flash, panorama, HDR'",,b'Android 5.0 (Lollipop) ; HIVE Atlas UI',b'Octa-core (4x1.5 GHz Cortex-A53 & 4x1.0 GHz Cortex-A53)',,,b'',b'Qualcomm MSM8939 Snapdragon 615 (28 nm)',,,"b'LTE band 3(1800), 40(2300)'",b'Corning Gorilla Glass 3',b'Adreno 405',,,,,,"b'Front/back glass (Gorilla Glass 3), aluminum frame'",,b'LED flash',,,,,,"b'13 MP, f/2.0, AF 2 MP, f/2.4, depth sensor'",,,b'0.13 W/kg (head) \xc2\xa0 \xc2\xa0 0.27 W/kg (body)',,
b'xolo',b'XOLO Black 1X',b'https://cdn2.gsmarena.com/vv/bigpic/xolo-black-1x.jpg',b'GSM / HSPA / LTE',b'GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2',b'Non-removable Li-Po 2400 mAh battery',,,"b'2015, October'","b'Available. Released 2015, October'",b'144.6 x 72 x 7.6 mm (5.69 x 2.83 x 0.30 in)',b'-',b'Hybrid Dual SIM',"b'IPS LCD capacitive touchscreen, 16M colors'","b'5.0 inches, 68.9 cm2 (~66.2% screen-to-body ratio)'","b'1080 x 1920 pixels, 16:9 ratio (~441 ppi density)'","b'microSD, up to 256 GB (uses shared SIM slot)'",,,"b'32 GB, 3 GB RAM'",,b'Yes',,b'Yes',"b'Wi-Fi 802.11 b/g/n, hotspot'","b'4.0, A2DP'","b'Yes, with A-GPS, GLONASS'",b'FM radio',"b'microUSB 2.0, USB Host'","b'Accelerometer, gyro, proximity, compass'",,,,,,b'Up to 394 h (2G) / Up to 354 h (3G)',b'Up to 27 h (2G) / Up to 12 h (3G)',b'Black',"b'13 MP, PDAF'",b'1080p@30fps',,b'HSDPA 900 / 2100',"b'HSPA 42.2/7.2 Mbps, LTE Cat4 150/50 Mbps'","b'LED flash, panorama, HDR'",,"b'Android 5.1 (Lollipop), upgradable to 6.0 (Marshmallow); HIVE Atlas UI'",b'Octa-core 1.3 GHz Cortex-A53',,b'5 MP',b'',b'Mediatek MT6753 (28 nm)',,,b'LTE 1800 TD-LTE 2300',b'Asahi Dragontrail Glass',b'Mali-T720MP3',,,,b'About 140 EUR',,,,b'LED flash',,,,,,,,,b'0.09 W/kg (head) \xc2\xa0 \xc2\xa0 0.14 W/kg (body)',,
b'xolo',b'XOLO Black',b'https://cdn2.gsmarena.com/vv/bigpic/xolo-black-2015.jpg',b'GSM / HSPA / LTE',b'GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2',b'Non-removable Li-Po 3200 mAh battery',,,"b'2015, July'","b'Available. Released 2015, July'",b'155.5 x 76.6 x 7.3 mm (6.12 x 3.02 x 0.29 in)',b'-',b'Hybrid Dual SIM (Micro-SIM/Nano-SIM)',"b'IPS LCD capacitive touchscreen, 16M colors'","b'5.5 inches, 82.6 cm2 (~69.3% screen-to-body ratio)'","b'1080 x 1920 pixels, 16:9 ratio (~403 ppi density)'","b'microSD, up to 32 GB (uses shared SIM slot)'",,,"b'16 GB, 2 GB RAM'",,b'Yes',,b'Yes',"b'Wi-Fi 802.11 b/g/n, hotspot'","b'4.0, A2DP'","b'Yes, with A-GPS, GLONASS'",b'FM radio',b'microUSB 2.0',"b'Accelerometer, gyro, proximity, compass'",,,,,,b'Up to 736 h (2G) / Up to 699 h (3G)',b'Up to 36 h (2G) / Up to 24 h (3G)',b'Black',b'5 MP',b'1080p@30fps',,b'HSDPA 900 / 2100',"b'HSPA 42.2/11.5 Mbps, LTE Cat4 150/50 Mbps'","b'LED flash, panorama, HDR'",,b'Android 5.0 (Lollipop); HIVE Atlas UI',b'Octa-core (4x1.5 GHz Cortex-A53 & 4x1.0 GHz Cortex-A53)',,,b'',b'Qualcomm MSM8939 Snapdragon 615 (28 nm)',,,b'LTE 1800 TD-LTE 2300',b'Corning Gorilla Glass 3',b'Adreno 405',,,,b'About 180 EUR',,"b'Front/back glass (Gorilla Glass 3), aluminum frame'",,b'LED flash',,,,,,"b'13 MP, AF 2 MP, depth sensor'",,,b'0.13 W/kg (head) \xc2\xa0 \xc2\xa0 0.27 W/kg (body)',,
b'xolo',b'XOLO Era',b'https://cdn2.gsmarena.com/vv/bigpic/xolo-era.jpg',b'GSM / HSPA',b'GSM 900 / 1800 - SIM 1 & SIM 2',b'Removable Li-Ion 2100 mAh battery',,,"b'2015, July'","b'Available. Released 2015, July'",b'143 x 73.2 x 9.4 mm (5.63 x 2.88 x 0.37 in)',b'-',b'Dual SIM',"b'IPS LCD capacitive touchscreen, 16M colors'","b'5.0 inches, 68.9 cm2 (~65.8% screen-to-body ratio)'","b'480 x 854 pixels, 16:9 ratio (~196 ppi density)'","b'microSD, up to 32 GB'",,,"b'8 GB, 1 GB RAM'",,b'Yes',,b'Yes',"b'Wi-Fi 802.11 b/g/n, hotspot'",b'2.1',"b'Yes, with A-GPS'",b'FM radio',b'microUSB 2.0',"b'Accelerometer, proximity'",,,,,,b'Up to 511 h (2G) / Up to 523 h (3G)',b'Up to 24 h 30 min (2G) / Up to 10 h (3G)',b'Black',b'8 MP',b'Yes',,b'HSDPA 2100',b'HSPA 21.1/5.76 Mbps',"b'LED flash, panorama, HDR'",,b'Android 4.4.2 (KitKat)',b'Quad-core 1.2 GHz',,b'2 MP',b'',b'Spreadtrum 7731',,,,,b'Mali-400',,,,b'About 60 EUR',,,,,,,,,,,,,,,
b'xolo',b'XOLO Cube 5.0',b'https://cdn2.gsmarena.com/vv/bigpic/xolo-cube-5.jpg',b'GSM / HSPA',b'GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2',b'Removable Li-Po 2100 mAh battery',,,"b'2015, June'","b'Available. Released 2015, June'",b'143 x 71 x 6.9 mm (5.63 x 2.80 x 0.27 in)',b'-',b'Dual SIM',"b'IPS LCD capacitive touchscreen, 16M colors'","b'5.0 inches, 68.9 cm2 (~67.9% screen-to-body ratio)'","b'720 x 1280 pixels, 16:9 ratio (~294 ppi density)'","b'microSD, up to 32 GB'",,,"b'8 GB, 2 GB RAM'",,b'Yes',,b'Yes',"b'Wi-Fi 802.11 b/g/n, hotspot'","b'4.0, A2DP'","b'Yes, with A-GPS'",b'FM radio',b'microUSB 2.0',"b'Accelerometer, proximity'",,,,,,b'Up to 656 h (2G) / Up to 477 h (3G)',b'Up to 26 h (2G) / Up to 10 h (3G)',"b'Black, White, Gold'","b'8 MP, AF'",b'Yes',,b'HSDPA 2100',b'HSPA 21.1/5.76 Mbps',"b'LED flash, panorama, HDR'",,b'Android 5.0 (Lollipop)',b'Quad-core 1.3 GHz Cortex-A7',,b'5 MP',b'',b'Mediatek MT6582M (28 nm)',,,,,b'Mali-400MP2',,,,,,,,,,,,,,,,,b'0.79 W/kg (head) \xc2\xa0 \xc2\xa0 1.19 W/kg (body)',,
b'xolo',b'XOLO Prime',b'https://cdn2.gsmarena.com/vv/bigpic/xolo-prime.jpg',b'GSM / HSPA',b'GSM 900 / 1800 - SIM 1 & SIM 2',b'Removable Li-Ion 1800 mAh battery',,,"b'2015, May'","b'Available. Released 2015, May'",b'135 x 68 x 9.5 mm (5.31 x 2.68 x 0.37 in)',b'-',b'Dual SIM',"b'IPS LCD capacitive touchscreen, 16M colors'","b'4.5 inches, 55.8 cm2 (~60.8% screen-to-body ratio)'","b'480 x 854 pixels, 16:9 ratio (~218 ppi density)'","b'microSD, up to 32 GB'",,,"b'8 GB, 1 GB RAM'",,b'Yes',,b'Yes',"b'Wi-Fi 802.11 b/g/n, hotspot'","b'4.0, A2DP'","b'Yes, with A-GPS'",b'FM radio',b'microUSB 2.0',"b'Accelerometer, proximity'",,,,,,b'Up to 500 h (2G) / Up to 400 h (3G)',b'Up to 21 h (2G) / Up to 10 h (3G)',"b'Black, Blue, Red'","b'5 MP, AF'",b'720p',,b'HSDPA 2100',b'HSPA 21.1/5.76 Mbps',"b'LED flash, panorama, HDR'",,b'Android 5.0 (Lollipop)',b'Quad-core 1.3 GHz Cortex-A7',,b'VGA',b'',b'Mediatek MT6582M (28 nm)',,,,,b'Mali-400MP2',,,,b'About 80 EUR',,,,,,,,,,,,,b'0.89 W/kg (head) \xc2\xa0 \xc2\xa0 0.71 W/kg (body)',,
b'xolo',b'XOLO LT2000',b'https://cdn2.gsmarena.com/vv/bigpic/xolo-2000.jpg',b'GSM / HSPA / LTE',b'GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2',b'Removable Li-Ion 2920 mAh battery',,,"b'2015, January'","b'Available. Released 2015, February'",b'152.4 x 75 x 9.3 mm (6.00 x 2.95 x 0.37 in)',b'-',b'Dual SIM (Micro-SIM)',"b'IPS LCD capacitive touchscreen, 16M colors'","b'5.5 inches, 83.4 cm2 (~73.0% screen-to-body ratio)'","b'720 x 1280 pixels, 16:9 ratio (~267 ppi density)'","b'microSD, up to 32 GB'",,,"b'8 GB, 1 GB RAM'",,b'Yes',,b'Yes',"b'Wi-Fi 802.11 b/g/n, hotspot'","b'4.0, A2DP'","b'Yes, with A-GPS'",b'FM radio',b'microUSB 2.0',"b'Accelerometer, proximity, compass'",,,,,,b'Up to 760 h (2G) / Up to 693 h (3G)',b'Up to 30 h (2G) / Up to 17 h 20 min (3G)',b'Black',"b'8 MP, AF'",b'1080p@30fps',,b'HSDPA 850 / 900 / 2100',"b'HSPA 42.2/7.2 Mbps, LTE'","b'LED flash, panorama, HDR'",,"b'Android 4.4.2 (KitKat), upgradable to 5.0 (Lollipop)'",b'Quad-core 1.2 GHz Cortex-A53',,b'2 MP',b'',b'Qualcomm MSM8916 Snapdragon 410 (28 nm)',,,"b'LTE band 3(1800), 40(2300)'",,b'Adreno 306',,,,,,,,,,,,,,,,,b'0.28 W/kg (head) \xc2\xa0 \xc2\xa0 0.30 W/kg (body)',,
